proposal,control_scope,horizon,relationship,actual_goal,actual_goal_name,rows,online_value_start_mean,slow_value_start_mean,online_slow_start_gap,online_value_final_mean,slow_value_final_mean,return_mean,return_p95,return_max,return_bias_vs_realized,reward_only_mean,bootstrap_mean,bootstrap_abs_mean,bootstrap_fraction,imagined_reward_sum_mean,imagined_reward_event_posterior_sample_rate,imagined_stop_posterior_sample_rate,prior_entropy_mean,first_action_unique_fraction,all_action_unique_fraction
actor,all,1,factual,0,go_to_door,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.5066598360655737,2.615786693135246,0.21875,0.21875
actor,all,1,counterfactual,0,go_to_door,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.6018442622950819,2.6157930968237704,0.21875,0.21875
actor,all,3,factual,0,go_to_door,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.8831967213114754,2.6162296240446996,0.21875,0.0729166666666667
actor,all,3,counterfactual,0,go_to_door,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9302254098360656,2.616230155600876,0.21875,0.07291666666666666
actor,all,6,factual,0,go_to_door,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9871926229508197,2.616497766776163,0.21875,0.03645833333333335
actor,all,6,counterfactual,0,go_to_door,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9933401639344263,2.6164969733504,0.21875,0.03645833333333333
actor,all,15,factual,0,go_to_door,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6174175035758096,0.21875,0.01458333333333333
actor,all,15,counterfactual,0,go_to_door,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6174184674122296,0.21875,0.014583333333333334
actor,paired_recorded,1,factual,0,go_to_door,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.5066598360655737,2.615786693135246,0.21875,0.21875
actor,paired_recorded,1,counterfactual,0,go_to_door,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.6018442622950819,2.6157930968237704,0.21875,0.21875
actor,paired_recorded,3,factual,0,go_to_door,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.8703703703703703,2.6262417987540916,0.21875,0.07291666666666667
actor,paired_recorded,3,counterfactual,0,go_to_door,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9175925925925926,2.6262442023665815,0.21875,0.0729166666666667
actor,paired_recorded,6,factual,0,go_to_door,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9836309523809523,2.625251906258719,0.21875,0.03645833333333334
actor,paired_recorded,6,counterfactual,0,go_to_door,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9901785714285715,2.6252542314075287,0.21875,0.03645833333333333
actor,paired_recorded,15,factual,0,go_to_door,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6223904291788735,0.21875,0.014583333333333335
actor,paired_recorded,15,counterfactual,0,go_to_door,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6223752379417418,0.21875,0.014583333333333332
recorded,paired_recorded,1,factual,0,go_to_door,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23219671992004895,0.0,0.0,0.0,0.0,0.0,0.0,0.475922131147541,2.617739818135246,0.03125,0.03125
recorded,paired_recorded,1,counterfactual,0,go_to_door,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.5644467213114754,2.617739818135246,0.03125,0.03125
recorded,paired_recorded,3,factual,0,go_to_door,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036037036666163695,0.0,0.0,0.0,0.0,0.0,0.0,0.7928240740740741,2.625759548611111,0.03125,0.022376543209876545
recorded,paired_recorded,3,counterfactual,0,go_to_door,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.8583333333333333,2.625759548611111,0.03125,0.022376543209876542
recorded,paired_recorded,6,factual,0,go_to_door,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04504761809394473,0.0,0.0,0.0,0.0,0.0,0.0,0.9479166666666666,2.623039132072812,0.03125,0.014136904761904762
recorded,paired_recorded,6,counterfactual,0,go_to_door,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9782738095238095,2.623039132072812,0.03125,0.014136904761904762
recorded,paired_recorded,15,factual,0,go_to_door,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.61638996998469,0.03125,0.007118055555555557
