family,final_deterministic_return,final_deterministic_success,final_sampled_return,final_sampled_success,seed,task,training_auc,training_episodes,training_final_rolling_return,training_final_rolling_success,training_saturation_step,training_steps_to_threshold
navigation,0.7721999996900558,0.9,0.7430600017309189,0.92,0,go_to_door,0.3391719999999998,3038,0.7749499946832656,0.95,65909,65729
navigation,0.0,0.0,0.0,0.0,1,go_to_door,0.005382,1597,0.0,0.0,,
navigation,0.39090000331401825,0.48,0.3647800016403198,0.46,2,go_to_door,0.11846650000000007,1955,0.3920499995350838,0.55,,98993
pickup,0.01784000039100647,0.02,0.02740000009536743,0.04,0,fetch,0.04965419798897361,1079,0.03740000128746033,0.05,,
pickup,0.3787399989366531,0.56,0.39696000039577484,0.6,1,fetch,0.09411374372101933,1110,0.3781000033020973,0.55,,98020
pickup,0.029580000340938568,0.06,0.018399999737739564,0.04,2,fetch,0.03316900554695558,1072,0.01850000023841858,0.05,,
navigation,0.0,0.0,0.0,0.0,0,go_to_object,0.009879249999999985,2097,0.0,0.0,,
navigation,0.4942999982833862,0.56,0.5846199989318848,0.7,1,go_to_object,0.07255706356914932,2153,0.38879999816417693,0.45,,
navigation,0.34998000144958497,0.42,0.3339399993419647,0.4,2,go_to_object,0.1154037499999999,2045,0.2194000005722046,0.25,,
pickup_and_place,0.7921800112724304,0.9,0.7941800081729888,0.92,0,put_near,0.12607249999999987,1988,0.6906500101089478,0.8,95007,68641
pickup_and_place,0.8896600115299225,1.0,0.8947000098228455,1.0,1,put_near,0.15726225000000005,1860,0.8492500111460686,1.0,88924,57651
pickup_and_place,0.6215600067377091,0.74,0.5265800070762634,0.62,2,put_near,0.15884125000000002,1661,0.6497000068426132,0.8,91033,68365
unlock_and_pickup,0.0,0.0,0.0,0.0,0,unlock_pickup,0.0,990,0.0,0.0,,
unlock_and_pickup,0.0,0.0,0.0,0.0,1,unlock_pickup,0.0,990,0.0,0.0,,
unlock_and_pickup,0.0,0.0,0.0,0.0,2,unlock_pickup,0.0,990,0.0,0.0,,
pickup,0.02146000027656555,0.04,0.029739999771118165,0.04,0,pickup_dist,0.014821157143123412,1077,0.0,0.0,,
pickup,0.0,0.0,0.0,0.0,1,pickup_dist,0.04387438500186623,1125,0.0,0.0,,
pickup,0.014600000381469726,0.02,0.0,0.0,2,pickup_dist,0.014811952958376277,1065,0.0,0.0,,
