after_step,arm,before_step,entropy_after,entropy_before,goal_id,js_divergence_mean,js_divergence_p95,modal_action_agreement,seed,states,task
200000,current_old_50_50,0,0.06704456359148026,1.9458988904953003,0,0.4627320170402527,0.4788600817322731,0.1130952380952381,0,1680,go_to_door
200000,current_old_50_50,0,0.04523707553744316,1.9458986520767212,1,0.46789029240608215,0.47900035977363586,0.06708975521305531,0,2206,fetch
200000,current_old_50_50,0,0.07007085531949997,1.9459000825881958,2,0.4621819853782654,0.4787483289837837,0.09962871287128713,0,1616,go_to_object
200000,current_old_50_50,0,0.05472176522016525,1.945899486541748,3,0.46557894349098206,0.4788263216614723,0.055074257425742575,0,1616,put_near
400000,current_old_50_50,200000,0.09063822776079178,0.06704456359148026,0,0.14478816092014313,0.689853572845459,0.7523809523809524,0,1680,go_to_door
400000,current_old_50_50,200000,0.16029375791549683,0.04523707553744316,1,0.32582324743270874,0.6930826306343079,0.5004533091568449,0,2206,fetch
400000,current_old_50_50,200000,0.15703940391540527,0.07007085531949997,2,0.217001810669899,0.6926389932632446,0.6342821782178217,0,1616,go_to_object
400000,current_old_50_50,200000,0.12829697132110596,0.05472176522016525,3,0.1700420379638672,0.6915226727724075,0.7233910891089109,0,1616,put_near
600000,current_old_50_50,400000,0.1062159612774849,0.09063822776079178,0,0.24792581796646118,0.6929368406534195,0.6,0,1680,go_to_door
600000,current_old_50_50,400000,0.2024817168712616,0.16029375791549683,1,0.3350783586502075,0.6929524838924408,0.4551223934723481,0,2206,fetch
600000,current_old_50_50,400000,0.18256016075611115,0.15703940391540527,2,0.24587151408195496,0.6925975829362869,0.5853960396039604,0,1616,go_to_object
600000,current_old_50_50,400000,0.17836493253707886,0.12829697132110596,3,0.2755831480026245,0.6927909106016159,0.5581683168316832,0,1616,put_near
800000,current_old_50_50,600000,0.0761219933629036,0.1062159612774849,0,0.33042141795158386,0.6931383669376373,0.4797619047619048,0,1680,go_to_door
800000,current_old_50_50,600000,0.1255117505788803,0.2024817168712616,1,0.3659721612930298,0.6931052207946777,0.4256572982774252,0,2206,fetch
800000,current_old_50_50,600000,0.1898302286863327,0.18256016075611115,2,0.27689793705940247,0.6919932216405869,0.5402227722772277,0,1616,go_to_object
800000,current_old_50_50,600000,0.73441082239151,0.17836493253707886,3,0.3684309124946594,0.6902776211500168,0.3589108910891089,0,1616,put_near
200000,current_old_50_50,0,0.05075054615736008,1.945896029472351,0,0.4656927287578583,0.4788144513964653,0.17922948073701842,1,1194,go_to_door
200000,current_old_50_50,0,0.0860351175069809,1.9458973407745361,1,0.45818042755126953,0.4785554945468903,0.16774193548387098,1,1705,fetch
200000,current_old_50_50,0,0.09466809779405594,1.9458967447280884,2,0.45606815814971924,0.4783603399991989,0.20087976539589442,1,1364,go_to_object
200000,current_old_50_50,0,0.06951329857110977,1.945896863937378,3,0.46160268783569336,0.47810425609350204,0.2691831683168317,1,1616,put_near
400000,current_old_50_50,200000,0.05123097077012062,0.05075054615736008,0,0.25226259231567383,0.6930961847305298,0.609715242881072,1,1194,go_to_door
400000,current_old_50_50,200000,0.0930667296051979,0.0860351175069809,1,0.17823383212089539,0.6921921491622924,0.6979472140762464,1,1705,fetch
400000,current_old_50_50,200000,0.06380082666873932,0.09466809779405594,2,0.1819029450416565,0.6911135375499725,0.6979472140762464,1,1364,go_to_object
400000,current_old_50_50,200000,0.03754882887005806,0.06951329857110977,3,0.10945609211921692,0.6837232261896133,0.8149752475247525,1,1616,put_near
600000,current_old_50_50,400000,0.06029396876692772,0.05123097077012062,0,0.15057390928268433,0.6922811806201935,0.7487437185929648,1,1194,go_to_door
600000,current_old_50_50,400000,0.08439236134290695,0.0930667296051979,1,0.299500435590744,0.6931133270263672,0.5249266862170088,1,1705,fetch
600000,current_old_50_50,400000,0.09103704988956451,0.06380082666873932,2,0.2296815812587738,0.6924268007278442,0.6231671554252199,1,1364,go_to_object
600000,current_old_50_50,400000,0.048394765704870224,0.03754882887005806,3,0.20660436153411865,0.6930743306875229,0.6788366336633663,1,1616,put_near
800000,current_old_50_50,600000,0.06545552611351013,0.06029396876692772,0,0.16649289429187775,0.6925011217594147,0.7236180904522613,1,1194,go_to_door
800000,current_old_50_50,600000,0.14203105866909027,0.08439236134290695,1,0.22521091997623444,0.6929101347923279,0.6381231671554253,1,1705,fetch
800000,current_old_50_50,600000,0.12550047039985657,0.09103704988956451,2,0.13664187490940094,0.668124508857727,0.748533724340176,1,1364,go_to_object
800000,current_old_50_50,600000,0.771527886390686,0.048394765704870224,3,0.1956361085176468,0.4775949791073799,0.6775990099009901,1,1616,put_near
200000,current_old_50_50,0,0.06588328629732132,1.9459002017974854,0,0.4625896215438843,0.47832401245832445,0.23918269230769232,2,832,go_to_door
200000,current_old_50_50,0,0.06915348023176193,1.9459000825881958,1,0.46234041452407837,0.47862906754016876,0.11200495049504951,2,1616,fetch
200000,current_old_50_50,0,0.092284195125103,1.9459004402160645,2,0.4569723606109619,0.47835361063480375,0.17897371714643304,2,1598,go_to_object
200000,current_old_50_50,0,0.09538240730762482,1.9459011554718018,3,0.4562367796897888,0.4783537685871124,0.12438118811881188,2,1616,put_near
400000,current_old_50_50,200000,0.08225365728139877,0.06588328629732132,0,0.1512640118598938,0.6895171999931335,0.7427884615384616,2,832,go_to_door
400000,current_old_50_50,200000,0.13413108885288239,0.06915348023176193,1,0.515369176864624,0.6930733025074005,0.19801980198019803,2,1616,fetch
400000,current_old_50_50,200000,0.13466256856918335,0.092284195125103,2,0.35624706745147705,0.6928719699382782,0.44430538172715894,2,1598,go_to_object
400000,current_old_50_50,200000,0.13536903262138367,0.09538240730762482,3,0.4230733811855316,0.6928550750017166,0.33910891089108913,2,1616,put_near
600000,current_old_50_50,400000,0.08326420187950134,0.08225365728139877,0,0.12005395442247391,0.675941401720047,0.7908653846153846,2,832,go_to_door
600000,current_old_50_50,400000,0.12089236080646515,0.13413108885288239,1,0.32967373728752136,0.6929027140140533,0.45173267326732675,2,1616,fetch
600000,current_old_50_50,400000,0.12938320636749268,0.13466256856918335,2,0.25135767459869385,0.6919164657592773,0.5919899874843555,2,1598,go_to_object
600000,current_old_50_50,400000,0.08895201981067657,0.13536903262138367,3,0.30875980854034424,0.6919409036636353,0.5,2,1616,put_near
800000,current_old_50_50,600000,0.08811195194721222,0.08326420187950134,0,0.14244094491004944,0.6905093640089035,0.7524038461538461,2,832,go_to_door
800000,current_old_50_50,600000,0.09969327598810196,0.12089236080646515,1,0.22769176959991455,0.6917030215263367,0.6231435643564357,2,1616,fetch
800000,current_old_50_50,600000,0.17307136952877045,0.12938320636749268,2,0.3028976321220398,0.6929402887821198,0.5112640801001251,2,1598,go_to_object
800000,current_old_50_50,600000,0.9517446160316467,0.08895201981067657,3,0.38650384545326233,0.6619882881641388,0.29764851485148514,2,1616,put_near
200000,fifo_100k,0,0.10534540563821793,1.9458988904953003,0,0.4540155231952667,0.4784444957971573,0.17261904761904762,0,1680,go_to_door
200000,fifo_100k,0,0.09775089472532272,1.9458986520767212,1,0.455987811088562,0.47855759412050247,0.18313689936536717,0,2206,fetch
200000,fifo_100k,0,0.09325072914361954,1.9459000825881958,2,0.4566780924797058,0.47839968651533127,0.17202970297029702,0,1616,go_to_object
200000,fifo_100k,0,0.12437710911035538,1.945899486541748,3,0.44895240664482117,0.47835322469472885,0.16150990099009901,0,1616,put_near
400000,fifo_100k,200000,1.819635272026062,0.10534540563821793,0,0.4596301019191742,0.5946230590343475,0.21964285714285714,0,1680,go_to_door
400000,fifo_100k,200000,1.7324650287628174,0.09775089472532272,1,0.5080942511558533,0.6462873667478561,0.07071622846781506,0,2206,fetch
400000,fifo_100k,200000,1.8372385501861572,0.09325072914361954,2,0.5149408578872681,0.6112339198589325,0.04455445544554455,0,1616,go_to_object
400000,fifo_100k,200000,1.7484792470932007,0.12437710911035538,3,0.4655713140964508,0.627745971083641,0.2042079207920792,0,1616,put_near
600000,fifo_100k,400000,1.0767091512680054,1.819635272026062,0,0.2483898103237152,0.3507474958896637,0.2363095238095238,0,1680,go_to_door
600000,fifo_100k,400000,1.0604954957962036,1.7324650287628174,1,0.2869197130203247,0.4063560888171196,0.15457842248413417,0,2206,fetch
600000,fifo_100k,400000,1.0638964176177979,1.8372385501861572,2,0.29641810059547424,0.3899475038051605,0.07673267326732673,0,1616,go_to_object
600000,fifo_100k,400000,1.052398443222046,1.7484792470932007,3,0.3064784109592438,0.4122711643576622,0.09158415841584158,0,1616,put_near
800000,fifo_100k,600000,0.15494675934314728,1.0767091512680054,0,0.378150999546051,0.6923574328422546,0.34464285714285714,0,1680,go_to_door
800000,fifo_100k,600000,0.14576931297779083,1.0604954957962036,1,0.4570293724536896,0.6927590370178223,0.29782411604714415,0,2206,fetch
800000,fifo_100k,600000,0.20345015823841095,1.0638964176177979,2,0.4595402777194977,0.6921359449625015,0.1608910891089109,0,1616,go_to_object
800000,fifo_100k,600000,0.13343074917793274,1.052398443222046,3,0.47292500734329224,0.6926494240760803,0.2332920792079208,0,1616,put_near
200000,fifo_100k,0,0.17660300433635712,1.945896029472351,0,0.4358334541320801,0.4788984701037407,0.0678391959798995,1,1194,go_to_door
200000,fifo_100k,0,0.2861117720603943,1.9458973407745361,1,0.4116388261318207,0.47865217328071596,0.0656891495601173,1,1705,fetch
200000,fifo_100k,0,0.22179251909255981,1.9458967447280884,2,0.4252825975418091,0.4784700140357018,0.06964809384164222,1,1364,go_to_object
200000,fifo_100k,0,0.24263574182987213,1.945896863937378,3,0.4196390211582184,0.47799019515514374,0.07858910891089109,1,1616,put_near
400000,fifo_100k,200000,0.28168582916259766,0.17660300433635712,0,0.3524002730846405,0.6908018708229064,0.4463986599664992,1,1194,go_to_door
400000,fifo_100k,200000,0.28568053245544434,0.2861117720603943,1,0.3447950482368469,0.6909418344497681,0.4064516129032258,1,1705,fetch
400000,fifo_100k,200000,0.3529881536960602,0.22179251909255981,2,0.30499863624572754,0.6890011578798294,0.46480938416422285,1,1364,go_to_object
400000,fifo_100k,200000,0.2938983142375946,0.24263574182987213,3,0.35195982456207275,0.689167320728302,0.40532178217821785,1,1616,put_near
600000,fifo_100k,400000,1.1493549346923828,0.28168582916259766,0,0.38468366861343384,0.646316513419151,0.19932998324958123,1,1194,go_to_door
600000,fifo_100k,400000,0.940808117389679,0.28568053245544434,1,0.3199448883533478,0.6451563835144043,0.43284457478005867,1,1705,fetch
600000,fifo_100k,400000,1.1815714836120605,0.3529881536960602,2,0.3085152506828308,0.5500917077064513,0.3035190615835777,1,1364,go_to_object
600000,fifo_100k,400000,1.08097505569458,0.2938983142375946,3,0.3165375292301178,0.6112335026264191,0.3719059405940594,1,1616,put_near
800000,fifo_100k,600000,0.25443926453590393,1.1493549346923828,0,0.34971126914024353,0.6222850203514095,0.2914572864321608,1,1194,go_to_door
800000,fifo_100k,600000,0.23542889952659607,0.940808117389679,1,0.3693549931049347,0.6818589687347412,0.31906158357771264,1,1705,fetch
800000,fifo_100k,600000,0.26870301365852356,1.1815714836120605,2,0.3667033910751343,0.6638089954853055,0.28005865102639294,1,1364,go_to_object
800000,fifo_100k,600000,0.10097315907478333,1.08097505569458,3,0.38031843304634094,0.6621232181787491,0.32054455445544555,1,1616,put_near
200000,fifo_100k,0,0.0823654755949974,1.9459002017974854,0,0.4591706097126007,0.47824722677469256,0.24278846153846154,2,832,go_to_door
200000,fifo_100k,0,0.23287589848041534,1.9459000825881958,1,0.4285869896411896,0.4780459329485893,0.09653465346534654,2,1616,fetch
200000,fifo_100k,0,0.18335957825183868,1.9459004402160645,2,0.4384929835796356,0.4782078742980957,0.1677096370463079,2,1598,go_to_object
200000,fifo_100k,0,0.1952923685312271,1.9459011554718018,3,0.4358026385307312,0.47800588607788086,0.1188118811881188,2,1616,put_near
