actor_distribution_enabled,actor_rows,arm,complete,completion_reward_margin,episodes,horizons,integrity_equal,kind,recorded_rows,reward_factual_auroc,reward_factual_average_precision,rows,seed,states,step,summary_path
True,,current_old_50_50,True,0.0,94,,True,head,,0.5,0.021575516398547465,,0,7118,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000000000/summary.json
True,,current_old_50_50,True,-0.0021574199199676514,94,,True,head,,0.8631982106198486,0.06506425836874201,,0,7118,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000200000/summary.json
True,,current_old_50_50,True,-0.006917417049407959,94,,True,head,,0.9810276679841897,0.37278051259062517,,0,7118,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000400000/summary.json
True,,current_old_50_50,True,0.03365844488143921,94,,True,head,,0.9919600453473052,0.45206796940923033,,0,7118,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000600000/summary.json
True,,current_old_50_50,True,0.051749154925346375,94,,True,head,,0.9963722155835402,0.5723834511401001,,0,7118,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000800000/summary.json
True,,current_old_50_50,True,0.0,102,,True,head,,0.5,0.025792814701980086,,1,5879,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0001/step_000000000000/summary.json
True,,current_old_50_50,True,0.00024503469467163086,102,,True,head,,0.8563477890763067,0.501860137715638,,1,5879,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0001/step_000000200000/summary.json
True,,current_old_50_50,True,0.002380460500717163,102,,True,head,,0.8594751889856306,0.5212160336264849,,1,5879,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0001/step_000000400000/summary.json
True,,current_old_50_50,True,0.0032394826412200928,102,,True,head,,0.9941430646668579,0.704101097777561,,1,5879,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0001/step_000000600000/summary.json
True,,current_old_50_50,True,0.028775721788406372,102,,True,head,,0.9962249137189226,0.7090170776448259,,1,5879,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0001/step_000000800000/summary.json
True,,current_old_50_50,True,0.0,96,,True,head,,0.5,0.042465789322941996,,2,5662,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0002/step_000000000000/summary.json
True,,current_old_50_50,True,-0.021963834762573242,96,,True,head,,0.9204447487195091,0.1713661204974594,,2,5662,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0002/step_000000200000/summary.json
True,,current_old_50_50,True,-0.00016364455223083496,96,,True,head,,0.8745499264668594,0.3617420495528591,,2,5662,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0002/step_000000400000/summary.json
True,,current_old_50_50,True,0.010458014905452728,96,,True,head,,0.8293840965566205,0.3004980297712335,,2,5662,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0002/step_000000600000/summary.json
True,,current_old_50_50,True,0.01227561291307211,96,,True,head,,0.843101830721639,0.25229178946644687,,2,5662,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0002/step_000000800000/summary.json
True,,fifo_100k,True,0.0,94,,True,head,,0.5,0.021575516398547465,,0,7118,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0000/step_000000000000/summary.json
True,,fifo_100k,True,0.0028817951679229736,94,,True,head,,0.8030149829947606,0.550373057509102,,0,7118,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0000/step_000000200000/summary.json
True,,fifo_100k,True,-0.011503636837005615,94,,True,head,,0.8612311180561939,0.3470395248226974,,0,7118,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0000/step_000000400000/summary.json
True,,fifo_100k,True,-0.02110552415251732,94,,True,head,,0.9875968992248062,0.3317867187638387,,0,7118,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0000/step_000000600000/summary.json
True,,fifo_100k,True,2.9641569199156947e-08,94,,True,head,,0.5335355578024941,0.003549640061766222,,0,7118,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0000/step_000000800000/summary.json
True,,fifo_100k,True,0.0,102,,True,head,,0.5,0.025792814701980086,,1,5879,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0001/step_000000000000/summary.json
True,,fifo_100k,True,-0.010637432336807251,102,,True,head,,0.906807183767129,0.6044932269453477,,1,5879,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0001/step_000000200000/summary.json
True,,fifo_100k,True,-0.0025654491037130356,102,,True,head,,0.7870175893113244,0.12107886933134053,,1,5879,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0001/step_000000400000/summary.json
True,,fifo_100k,True,4.579539381666109e-05,102,,True,head,,0.9137328016136643,0.3123237286687435,,1,5879,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0001/step_000000600000/summary.json
True,,fifo_100k,True,6.0445302096923115e-09,102,,True,head,,0.4313221129379979,0.005498435336877695,,1,5879,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0001/step_000000800000/summary.json
True,,fifo_100k,True,0.0,96,,True,head,,0.5,0.042465789322941996,,2,5662,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0002/step_000000000000/summary.json
True,,fifo_100k,True,0.0006861090660095215,96,,True,head,,0.9755185354226887,0.5701343245561954,,2,5662,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0002/step_000000200000/summary.json
True,,fifo_100k,True,2.605311237857677e-07,96,,True,head,,0.5585095593082814,0.005596536641545425,,2,5662,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0002/step_000000400000/summary.json
True,,fifo_100k,True,-0.0007563102408312261,96,,True,head,,0.7143364267964907,0.14761516170514216,,2,5662,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0002/step_000000600000/summary.json
True,,fifo_100k,True,-5.8319091778002985e-09,96,,True,head,,0.6245182311476242,0.0065912425145987835,,2,5662,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/fifo_100k/seed_0002/step_000000800000/summary.json
True,,uniform_reservoir,True,0.0,94,,True,head,,0.5,0.021575516398547465,,0,7118,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0000/step_000000000000/summary.json
True,,uniform_reservoir,True,-0.004168123006820679,94,,True,head,,0.9286270184146828,0.5509239314381836,,0,7118,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0000/step_000000200000/summary.json
True,,uniform_reservoir,True,-0.004956483840942383,94,,True,head,,0.9999571039004811,0.989855072463768,,0,7118,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0000/step_000000400000/summary.json
True,,uniform_reservoir,True,0.037847936153411865,94,,True,head,,1.0,1.0,,0,7118,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0000/step_000000600000/summary.json
True,,uniform_reservoir,True,0.08694994449615479,94,,True,head,,1.0,1.0,,0,7118,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0000/step_000000800000/summary.json
True,,uniform_reservoir,True,0.0,102,,True,head,,0.5,0.025792814701980086,,1,5879,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0001/step_000000000000/summary.json
True,,uniform_reservoir,True,-0.0008836984634399414,102,,True,head,,0.9228050371494397,0.47678258007360313,,1,5879,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0001/step_000000200000/summary.json
True,,uniform_reservoir,True,-0.011831521987915039,102,,True,head,,0.9813605114871804,0.7001690064835091,,1,5879,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0001/step_000000400000/summary.json
