arm,episodes,integrity_verified,mean_action_length,mean_return,median_return,phase,policy_mode,return_std,seed,step,success_rate,successes,task
current_old_50_50,50,True,83.48,0.05949999988079071,0.0,0,deterministic,0.20055286072896195,0,0,0.1,5,fetch
current_old_50_50,50,True,73.34,0.09032000035047531,0.0,0,sampled,0.24990457785681502,0,0,0.14,7,fetch
current_old_50_50,50,True,3.1,0.0,0.0,0,deterministic,0.0,0,0,0.0,0,go_to_door
current_old_50_50,50,True,3.46,0.019819999933242797,0.0,0,sampled,0.13873999953269958,0,0,0.02,1,go_to_door
current_old_50_50,50,True,2.98,0.019639999866485597,0.0,0,deterministic,0.13747999906539918,0,0,0.02,1,go_to_object
current_old_50_50,50,True,1.94,0.019639999866485597,0.0,0,sampled,0.13747999906539918,0,0,0.02,1,go_to_object
current_old_50_50,50,True,86.84,0.015499999523162842,0.0,0,deterministic,0.10849999666213989,0,0,0.02,1,put_near
current_old_50_50,50,True,68.16,0.043260000348091125,0.0,0,sampled,0.17728934806332441,0,0,0.06,3,put_near
current_old_50_50,50,True,100.0,0.0,0.0,0,deterministic,0.0,0,25000,0.0,0,go_to_door
current_old_50_50,50,True,99.9,0.0,0.0,0,sampled,0.0,0,25000,0.0,0,go_to_door
current_old_50_50,50,True,100.0,0.0,0.0,0,deterministic,0.0,0,50000,0.0,0,fetch
current_old_50_50,50,True,97.52,0.007400000095367431,0.0,0,sampled,0.051800000667572024,0,50000,0.02,1,fetch
current_old_50_50,50,True,100.0,0.0,0.0,0,deterministic,0.0,0,50000,0.0,0,go_to_door
current_old_50_50,50,True,100.0,0.0,0.0,0,sampled,0.0,0,50000,0.0,0,go_to_door
current_old_50_50,50,True,100.0,0.0,0.0,0,deterministic,0.0,0,50000,0.0,0,go_to_object
current_old_50_50,50,True,93.06,0.014960000514984131,0.0,0,sampled,0.10472000360488892,0,50000,0.02,1,go_to_object
current_old_50_50,50,True,100.0,0.0,0.0,0,deterministic,0.0,0,50000,0.0,0,put_near
current_old_50_50,50,True,98.18,0.0,0.0,0,sampled,0.0,0,50000,0.0,0,put_near
current_old_50_50,50,True,71.4,0.30339999943971635,0.0,0,deterministic,0.3676262221751673,0,75000,0.46,23,go_to_door
current_old_50_50,50,True,64.86,0.3547799998521805,0.25299999862909317,0,sampled,0.36277669644799826,0,75000,0.54,27,go_to_door
current_old_50_50,50,True,100.0,0.0,0.0,0,deterministic,0.0,0,100000,0.0,0,fetch
current_old_50_50,50,True,100.0,0.0,0.0,0,sampled,0.0,0,100000,0.0,0,fetch
