all_goal_value_over_threshold_anchor_rate,anchors,arm,bootstrap_mean_factual_mean,bootstrap_mean_goal_range_mean,bootstrap_mean_goal_std_mean,bootstrap_mean_nonmatching_mean,comparison_scope,goal_ids,goal_names,horizon,imagined_reward_event_posterior_sample_rate_factual_mean,imagined_reward_event_posterior_sample_rate_goal_range_mean,imagined_reward_event_posterior_sample_rate_goal_std_mean,imagined_reward_event_posterior_sample_rate_nonmatching_mean,imagined_reward_sum_mean_factual_mean,imagined_reward_sum_mean_goal_range_mean,imagined_reward_sum_mean_goal_std_mean,imagined_reward_sum_mean_nonmatching_mean,imagined_stop_posterior_sample_rate_factual_mean,imagined_stop_posterior_sample_rate_goal_range_mean,imagined_stop_posterior_sample_rate_goal_std_mean,imagined_stop_posterior_sample_rate_nonmatching_mean,incomplete_goal_sweeps,minimum_goal_value_mean,online_value_start_mean_factual_mean,online_value_start_mean_goal_range_mean,online_value_start_mean_goal_std_mean,online_value_start_mean_nonmatching_mean,proposal,raw_rows,return_mean_factual_mean,return_mean_goal_range_mean,return_mean_goal_std_mean,return_mean_nonmatching_mean,reward_only_bootstrap_within_anchor_correlation,reward_only_mean_factual_mean,reward_only_mean_goal_range_mean,reward_only_mean_goal_std_mean,reward_only_mean_nonmatching_mean,reward_only_return_within_anchor_correlation,reward_only_value_within_anchor_correlation,reward_sum_return_within_anchor_correlation,scope,seed,slow_value_start_mean_factual_mean,slow_value_start_mean_goal_range_mean,slow_value_start_mean_goal_std_mean,slow_value_start_mean_nonmatching_mean,step
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920698924731183,0.18884408602150538,0.07677996408631393,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,actor,744,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9203629032258065,0.09173387096774194,0.038251959634366874,0.9190748207885305,0,0.0,0.0,0.0,0.0,0.0,actor,744,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909274193548387,0.016969086021505375,0.007580213363751032,0.9908714157706093,0,0.0,0.0,0.0,0.0,0.0,actor,744,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,actor,744,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920698924731183,0.18884408602150538,0.07677996408631393,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,actor,744,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,90,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9041666666666667,0.1125,0.0472407589584358,0.8987268518518519,0,0.0,0.0,0.0,0.0,0.0,actor,360,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,88,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886363636363636,0.02166193181818182,0.009696874864950918,0.9891098484848484,0,0.0,0.0,0.0,0.0,0.0,actor,352,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,83,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,actor,332,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5656922043010753,0.2012768817204301,0.08126180927883836,0.5538754480286738,0,0.0,0.0,0.0,0.0,0.0,recorded,744,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,90,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638888888888889,0.16770833333333332,0.06814295567296061,0.8537037037037039,0,0.0,0.0,0.0,0.0,0.0,recorded,360,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
