all_goal_value_over_threshold_anchor_rate,anchors,arm,bootstrap_mean_factual_mean,bootstrap_mean_goal_range_mean,bootstrap_mean_goal_std_mean,bootstrap_mean_nonmatching_mean,comparison_scope,horizon,imagined_reward_event_posterior_sample_rate_factual_mean,imagined_reward_event_posterior_sample_rate_goal_range_mean,imagined_reward_event_posterior_sample_rate_goal_std_mean,imagined_reward_event_posterior_sample_rate_nonmatching_mean,imagined_reward_sum_mean_factual_mean,imagined_reward_sum_mean_goal_range_mean,imagined_reward_sum_mean_goal_std_mean,imagined_reward_sum_mean_nonmatching_mean,imagined_stop_posterior_sample_rate_factual_mean,imagined_stop_posterior_sample_rate_goal_range_mean,imagined_stop_posterior_sample_rate_goal_std_mean,imagined_stop_posterior_sample_rate_nonmatching_mean,incomplete_goal_sweeps,jobs,minimum_goal_value_mean,online_value_start_mean_factual_mean,online_value_start_mean_goal_range_mean,online_value_start_mean_goal_std_mean,online_value_start_mean_nonmatching_mean,proposal,raw_rows,return_mean_factual_mean,return_mean_goal_range_mean,return_mean_goal_std_mean,return_mean_nonmatching_mean,reward_only_bootstrap_within_anchor_correlation,reward_only_mean_factual_mean,reward_only_mean_goal_range_mean,reward_only_mean_goal_std_mean,reward_only_mean_nonmatching_mean,reward_only_return_within_anchor_correlation,reward_only_value_within_anchor_correlation,reward_sum_return_within_anchor_correlation,scope,slow_value_start_mean_factual_mean,slow_value_start_mean_goal_range_mean,slow_value_start_mean_goal_std_mean,slow_value_start_mean_nonmatching_mean,step
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4525832789971216,0.16465445005171742,0.05935503626560932,0.4556768273632121,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,1156.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7909500466059054,0.14887881323271612,0.052517491094153435,0.7946169137773946,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,1156.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377323205651639,0.07295881486700372,0.026061662190813604,0.9375429271827542,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,1156.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967187947696075,0.00727112691342589,0.0028694932201193935,0.9963893989910831,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,1156.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4525832789971216,0.16465445005171742,0.05935503626560932,0.4556768273632121,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,1156.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,92.0,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814058784782469,0.15293495490863912,0.054179305255467235,0.8164651746888588,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,552.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,87.66666666666667,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9534765547633195,0.06688267478708655,0.024180466269064217,0.9524002896613192,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,526.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,70.33333333333333,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983911697621375,0.0058854675790159655,0.0023433734310657965,0.9972812805474095,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,422.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440206705697712,0.16834109374873085,0.06087422398807494,0.44312162201714517,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,1156.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,92.0,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8122737399053189,0.16093900616926934,0.057781521683667784,0.8162310021849496,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,552.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,87.66666666666667,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494036566646861,0.07368089596949891,0.0273562659078517,0.9510137836700338,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,526.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,70.33333333333333,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963513634204463,0.007368550448126818,0.002895330327159841,0.9972785815794949,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,422.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4525832789971216,0.12095207476102571,0.04850748336034724,0.45033178349092234,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7909500466059054,0.09250626266852979,0.03716419677866616,0.7922204837785403,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377323205651639,0.04161775269769489,0.017129627500386917,0.9380399733981298,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967187947696075,0.003556606149010619,0.0015659023127946742,0.9966133374720348,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
