arm,replay/abandoned,replay/active_goals,replay/admitted,replay/chunks,replay/episodes,replay/episodes_seen,replay/goal_0/episodes,replay/goal_0/sampled,replay/goal_0/sampled_total,replay/goal_0/transitions,replay/goal_1/episodes,replay/goal_1/sampled,replay/goal_1/sampled_total,replay/goal_1/transitions,replay/goal_2/episodes,replay/goal_2/sampled,replay/goal_2/sampled_total,replay/goal_2/transitions,replay/goal_3/episodes,replay/goal_3/sampled,replay/goal_3/sampled_total,replay/goal_3/transitions,replay/goal_4/episodes,replay/goal_4/sampled,replay/goal_4/sampled_total,replay/goal_4/transitions,replay/goal_5/episodes,replay/goal_5/sampled,replay/goal_5/sampled_total,replay/goal_5/transitions,replay/inserts,replay/items,replay/ram_gb,replay/rejected,replay/replaced,replay/replay_ratio,replay/samples,replay/sampling/current_fraction,replay/sampling/current_group,replay/sampling/is_current_old,replay/streams,replay/updates,seed,step
current_old_50_50,0.0,1.0,820.0,0.0,820.0,820.0,820.0,23376.0,23376.0,23562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23620.0,23562.0,0.2704576123505831,0.0,0.0,31.66943268416596,23376.0,0.5,0.0,1.0,1.0,0.0,0,23620
current_old_50_50,0.0,1.0,282.0,0.0,1000.0,1108.0,1000.0,23672.0,47048.0,41848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23670.0,41848.0,0.4803543910384178,6.0,102.0,32.00270384452894,23672.0,0.5,0.0,1.0,1.0,0.0,0,47290
current_old_50_50,0.0,1.0,285.0,0.0,1000.0,1483.0,1000.0,23776.0,70824.0,45994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23780.0,45994.0,0.5279444623738527,90.0,285.0,31.9946173254836,23776.0,0.5,0.0,1.0,1.0,0.0,0,71070
current_old_50_50,0.0,1.0,310.0,0.0,1000.0,2030.0,1000.0,23752.0,94576.0,46088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23750.0,46088.0,0.5290234461426735,237.0,310.0,32.0026947368421,23752.0,0.5,0.0,1.0,0.0,0.0,0,94820
current_old_50_50,0.0,1.0,490.0,0.0,1000.0,3328.0,1000.0,23640.0,118216.0,35170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23640.0,35170.0,0.4037006292492151,808.0,490.0,32.0,23640.0,0.5,0.0,1.0,1.0,0.0,0,118460
current_old_50_50,0.0,1.0,323.0,0.0,1000.0,4597.0,1000.0,23728.0,141944.0,30877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23730.0,30877.0,0.35442321095615625,946.0,323.0,31.99730299199326,23728.0,0.5,0.0,1.0,1.0,0.0,0,142190
current_old_50_50,0.0,1.0,241.0,0.0,1000.0,5867.0,1000.0,23712.0,165656.0,28571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23710.0,28571.0,0.32795367296785116,1029.0,241.0,32.002699283002954,23712.0,0.5,0.0,1.0,1.0,0.0,0,165900
current_old_50_50,0.0,1.0,187.0,0.0,1000.0,7061.0,1000.0,23712.0,189368.0,27094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23710.0,27094.0,0.3109998535364866,1007.0,187.0,32.002699283002954,23712.0,0.5,0.0,1.0,1.0,0.0,0,189610
current_old_50_50,1.0,2.0,311.0,0.0,1240.0,7931.0,1000.0,22604.0,211972.0,26574.0,240.0,11940.0,11940.0,24046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34530.0,50620.0,0.5810442380607128,559.0,71.0,32.012974225311325,34544.0,0.5,1.0,1.0,1.0,0.0,0,224140
current_old_50_50,0.0,2.0,237.0,0.0,1477.0,8168.0,1000.0,11808.0,223780.0,26574.0,477.0,11904.0,23844.0,47799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23710.0,74373.0,0.8536942536011338,0.0,0.0,32.002699283002954,23712.0,0.5,1.0,1.0,1.0,0.0,0,247850
