arm,backward_transfer_from_acquisition,final_success,forgetting_from_peak,forward_transfer_vs_initial,initial_success,peak_post_acquisition_success,policy_mode,post_acquisition_success,pretraining_success,seed,task,task_index
current_old_50_50,-0.98,0.0,0.98,0.0,0.02,0.98,sampled,0.98,0.02,0,go_to_door,0
current_old_50_50,-0.98,0.0,0.98,0.0,0.0,0.98,deterministic,0.98,0.0,0,go_to_door,0
current_old_50_50,-0.84,0.0,0.98,-0.14,0.14,0.98,sampled,0.84,0.0,0,fetch,1
current_old_50_50,-0.9,0.0,0.96,-0.1,0.1,0.96,deterministic,0.9,0.0,0,fetch,1
current_old_50_50,0.0,0.0,0.0,0.06,0.02,0.0,sampled,0.0,0.08,0,go_to_object,2
current_old_50_50,0.0,0.0,0.0,0.02,0.02,0.0,deterministic,0.0,0.04,0,go_to_object,2
current_old_50_50,0.0,0.0,0.0,-0.06,0.06,0.0,sampled,0.0,0.0,0,put_near,3
current_old_50_50,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,0,put_near,3
current_old_50_50,-0.98,0.0,0.98,0.0,0.02,0.98,sampled,0.98,0.02,1,go_to_door,0
current_old_50_50,-1.0,0.0,1.0,0.0,0.0,1.0,deterministic,1.0,0.0,1,go_to_door,0
current_old_50_50,-0.82,0.0,0.88,-0.2,0.2,0.88,sampled,0.82,0.0,1,fetch,1
current_old_50_50,-0.86,0.0,0.88,-0.1,0.1,0.88,deterministic,0.86,0.0,1,fetch,1
current_old_50_50,-0.9,0.0,0.9,-0.06,0.06,0.9,sampled,0.9,0.0,1,go_to_object,2
current_old_50_50,-0.84,0.0,0.84,-0.02,0.02,0.84,deterministic,0.84,0.0,1,go_to_object,2
current_old_50_50,0.0,0.0,0.0,-0.08,0.08,0.0,sampled,0.0,0.0,1,put_near,3
current_old_50_50,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,1,put_near,3
current_old_50_50,0.05999999999999994,0.86,0.020000000000000018,0.0,0.04,0.88,sampled,0.8,0.04,2,go_to_door,0
current_old_50_50,0.0,0.86,0.020000000000000018,0.0,0.0,0.88,deterministic,0.86,0.0,2,go_to_door,0
current_old_50_50,0.0,0.0,0.14,-0.16,0.16,0.14,sampled,0.0,0.0,2,fetch,1
current_old_50_50,0.0,0.0,0.02,-0.24,0.24,0.02,deterministic,0.0,0.0,2,fetch,1
current_old_50_50,0.0,0.0,0.0,0.0,0.0,0.0,sampled,0.0,0.0,2,go_to_object,2
current_old_50_50,0.0,0.0,0.0,0.0,0.0,0.0,deterministic,0.0,0.0,2,go_to_object,2
current_old_50_50,0.0,0.0,0.0,-0.06,0.06,0.0,sampled,0.0,0.0,2,put_near,3
current_old_50_50,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,2,put_near,3
fifo_100k,-0.98,0.0,1.0,0.0,0.02,1.0,sampled,0.98,0.02,0,go_to_door,0
fifo_100k,-0.98,0.0,1.0,0.0,0.0,1.0,deterministic,0.98,0.0,0,go_to_door,0
fifo_100k,-0.24,0.0,0.24,-0.14,0.14,0.24,sampled,0.24,0.0,0,fetch,1
fifo_100k,-0.04,0.0,0.04,-0.1,0.1,0.04,deterministic,0.04,0.0,0,fetch,1
fifo_100k,0.0,0.0,0.28,0.08,0.02,0.28,sampled,0.0,0.1,0,go_to_object,2
fifo_100k,0.0,0.0,0.02,0.08,0.02,0.02,deterministic,0.0,0.1,0,go_to_object,2
