observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,go_to_door,0,go_to_door,0.007140239160533208,0.9923399935397536,0.44393655950824734,0.0023533320300675067,1.750716032456685e-05,0.0016728862431082668,1.0,1.0,0.9958478545568076,0.0004051925480780483
0,go_to_door,1,fetch,9.005718033437812e-05,,,,9.005718033437812e-05,0.014327807802212754,,1.0,0.9828612056448676,
0,go_to_door,2,go_to_object,8.160857643491905e-05,,,,8.160857643491905e-05,0.01409756505567895,,1.0,0.9831193778507008,
0,go_to_door,3,put_near,7.410704103219507e-05,,,,7.410704103219507e-05,0.013957644604197196,,1.0,0.9832644924921852,
0,go_to_door,4,unlock_pickup,7.995385887570581e-05,,,,7.995385887570581e-05,0.014176456240747506,,1.0,0.983045731448625,
0,go_to_door,5,pickup_dist,6.980531516424976e-05,,,,6.980531516424976e-05,0.01406947036374883,,1.0,0.9831360400169734,
1,fetch,0,go_to_door,0.0004522665760782651,,,,0.0004522665760782651,0.04023653316509869,,1.0,0.9571216526389105,
1,fetch,1,fetch,0.004696880901956055,0.7415755919854281,0.015351247255079536,0.00029810126778286874,0.0007050566872411398,0.046654973649115285,0.79273657455683,0.9963616758801381,0.9550651219789644,0.7654256804617035
1,fetch,2,go_to_object,0.0006995832369653455,,,,0.0006995832369653455,0.0426508812106699,,1.0,0.9544882516876141,
1,fetch,3,put_near,0.0006615957164332034,,,,0.0006615957164332034,0.04185225881386807,,1.0,0.9552771672815809,
1,fetch,4,unlock_pickup,0.000665821007122994,,,,0.000665821007122994,0.04337465915797438,,1.0,0.9537771391599185,
1,fetch,5,pickup_dist,0.0006452627692568959,,,,0.0006452627692568959,0.041940509278525204,,1.0,0.9551967318342608,
2,go_to_object,0,go_to_door,5.931468310553426e-06,,,,5.931468310553426e-06,0.0019998722294769663,,1.0,0.9953448197039048,
2,go_to_object,1,fetch,1.0106969375376823e-05,,,,1.0106969375376823e-05,0.0032625074064967655,,1.0,0.9938492738448157,
2,go_to_object,2,go_to_object,1.0390768492716493e-05,,,,1.0390768492716493e-05,0.0030600957867532672,,1.0,0.9940539314826526,
2,go_to_object,3,put_near,9.232815224175676e-06,,,,9.232815224175676e-06,0.002827231763022961,,1.0,0.9942802844366224,
2,go_to_object,4,unlock_pickup,8.789177279540028e-06,,,,8.789177279540028e-06,0.0032779522018857522,,1.0,0.9938515945531354,
2,go_to_object,5,pickup_dist,9.065617981418583e-06,,,,9.065617981418583e-06,0.0028027416308327477,,1.0,0.9943127303135277,
3,put_near,0,go_to_door,9.639297283035712e-05,,,,9.639297283035712e-05,0.0030001025683809037,,1.0,0.994269728365511,
3,put_near,1,fetch,0.00014856551495355378,,,,0.00014856551495355378,0.0045449551158022175,,1.0,0.9925474856823387,
3,put_near,2,go_to_object,0.0001507188840620916,,,,0.0001507188840620916,0.004360872034979339,,1.0,0.9927345709783015,
3,put_near,3,put_near,0.00013804236428977484,,,,0.00013804236428977484,0.004061986572376572,,1.0,0.993028608030907,
3,put_near,4,unlock_pickup,0.00013682139101010808,,,,0.00013682139101010808,0.004526998183809885,,1.0,0.9925750085696725,
3,put_near,5,pickup_dist,0.00013765346289081805,,,,0.00013765346289081805,0.004120752768646372,,1.0,0.9929773340942246,
