event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,go_to_door,0,go_to_door,16,0.8056409358978271,3.857428964693099e-05,1.83130943775177,1.8122999668121338
0,go_to_door,1,fetch,16,0.8189123868942261,0.0002810005098581314,4.068427562713623,4.23227596282959
0,go_to_door,2,go_to_object,16,0.8100255727767944,4.478576738620177e-05,1.7843977212905884,1.7575100660324097
0,go_to_door,3,put_near,16,0.8303812742233276,2.1321775420801714e-05,1.9266554117202759,1.904796838760376
0,go_to_door,4,unlock_pickup,16,0.8267807960510254,2.3419712306349538e-05,1.9039814472198486,1.8819491863250732
0,go_to_door,5,pickup_dist,16,0.8291299343109131,1.8563565390650183e-05,1.909652590751648,1.8880555629730225
1,fetch,0,go_to_door,6,0.4962221682071686,0.0037626121193170547,1.9093509912490845,1.8445342779159546
1,fetch,1,fetch,6,0.6161368489265442,0.0017600939609110355,4.6147847175598145,4.501870632171631
1,fetch,2,go_to_object,6,0.5084815621376038,0.015269814990460873,1.5841251611709595,1.5186861753463745
1,fetch,3,put_near,6,0.5891876816749573,0.0016932523576542735,2.250387668609619,2.1559455394744873
1,fetch,4,unlock_pickup,6,0.585446834564209,0.001631037681363523,2.2043616771698,2.1131207942962646
1,fetch,5,pickup_dist,6,0.5930361747741699,0.0016202558763325214,2.2117273807525635,2.1176044940948486
2,go_to_object,0,go_to_door,16,0.026415709406137466,0.15886273980140686,0.7621804475784302,0.7786394357681274
2,go_to_object,1,fetch,16,0.040984705090522766,0.7051675319671631,1.73798668384552,1.7148431539535522
2,go_to_object,2,go_to_object,16,0.05159181356430054,0.12411800771951675,0.7215747833251953,0.7384358048439026
2,go_to_object,3,put_near,16,0.057179007679224014,0.14403481781482697,0.7710025310516357,0.7883681058883667
2,go_to_object,4,unlock_pickup,16,0.06103171408176422,0.15680673718452454,0.7692302465438843,0.7864980697631836
2,go_to_object,5,pickup_dist,16,0.06246992200613022,0.11197266727685928,0.7737597227096558,0.7908577919006348
