observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,go_to_door,0,go_to_door,32,16,0.6838275194168091,0.7074782848358154,0.6601768136024475,0.59765625,0.6343965023875048
0,go_to_door,1,fetch,32,16,0.3627709150314331,0.38134685158729553,0.34419500827789307,0.5625,0.6023586069334819
0,go_to_door,2,go_to_object,32,16,0.6341123580932617,0.6495507955551147,0.6186739206314087,0.55078125,0.5727494277776352
0,go_to_door,3,put_near,32,16,0.6256852746009827,0.6432720422744751,0.608098566532135,0.546875,0.6002535477230093
0,go_to_door,4,unlock_pickup,32,16,0.6252933144569397,0.6428657174110413,0.6077208518981934,0.57421875,0.6399706027196697
0,go_to_door,5,pickup_dist,32,16,0.6272627711296082,0.6434670686721802,0.6110585331916809,0.546875,0.5963453263147879
1,fetch,0,go_to_door,16,0,0.4958883225917816,,0.4958883225917816,,
1,fetch,1,fetch,16,0,0.21840882301330566,,0.21840882301330566,,
1,fetch,2,go_to_object,16,0,0.2861545979976654,,0.2861545979976654,,
1,fetch,3,put_near,16,0,0.2915521264076233,,0.2915521264076233,,
1,fetch,4,unlock_pickup,16,0,0.2913067936897278,,0.2913067936897278,,
1,fetch,5,pickup_dist,16,0,0.2948301136493683,,0.2948301136493683,,
2,go_to_object,0,go_to_door,32,16,0.5594402551651001,0.5606249570846558,0.5582554936408997,0.46484375,0.5235693256912342
2,go_to_object,1,fetch,32,16,0.21679186820983887,0.21915926039218903,0.2144244909286499,0.6328125,0.6470804066210372
2,go_to_object,2,go_to_object,32,16,0.30432820320129395,0.32147276401519775,0.28718364238739014,0.64453125,0.633040217632609
2,go_to_object,3,put_near,32,16,0.31282636523246765,0.331696093082428,0.2939566373825073,0.6484375,0.6341960385736256
2,go_to_object,4,unlock_pickup,32,16,0.3047882616519928,0.32010117173194885,0.28947535157203674,0.63671875,0.6311230838404752
2,go_to_object,5,pickup_dist,32,16,0.30317428708076477,0.31948572397232056,0.286862850189209,0.65625,0.6510098281455673
3,put_near,0,go_to_door,16,0,0.48111337423324585,,0.48111337423324585,,
3,put_near,1,fetch,16,0,0.21495208144187927,,0.21495208144187927,,
3,put_near,2,go_to_object,16,0,0.26247379183769226,,0.26247379183769226,,
3,put_near,3,put_near,16,0,0.27376702427864075,,0.27376702427864075,,
3,put_near,4,unlock_pickup,16,0,0.2702887952327728,,0.2702887952327728,,
3,put_near,5,pickup_dist,16,0,0.2725687026977539,,0.2725687026977539,,
