observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,go_to_door,0,go_to_door,0.007168696875594123,0.607955332010521,0.010964605862128402,2.9111540469874453e-06,1.2874278541899023e-05,0.012620323044913156,0.5321385542168675,0.9862118021230243,0.9967829232833472,0.9970954447984696
0,go_to_door,1,fetch,5.430913050540384e-06,,,,5.430913050540384e-06,0.0005413763579868135,,1.0,0.9973169714921997,
0,go_to_door,2,go_to_object,1.694056174000274e-05,,,,1.694056174000274e-05,0.0018879376307484649,,1.0,0.9951451450275878,
0,go_to_door,3,put_near,6.4048525780422915e-06,,,,6.4048525780422915e-06,0.0006881577450604666,,1.0,0.9965572216148887,
0,go_to_door,4,unlock_pickup,1.4673965210968724e-05,,,,1.4673965210968724e-05,0.0007440593448423204,,1.0,0.9966297908020871,
0,go_to_door,5,pickup_dist,1.4566681450609483e-05,,,,1.4566681450609483e-05,0.0007394324810731978,,1.0,0.9966004733883199,
1,fetch,0,go_to_door,0.0005104741107435756,,,,0.0005104741107435756,0.005810395864295289,,1.0,0.9920260993272391,
1,fetch,1,fetch,0.004051627456609026,0.490528233151184,0.0048702113243416,1.617806763665186e-07,5.5506564041806175e-05,0.005939948348056589,0.9990712982273201,0.9999937317340833,0.9974440099929807,0.8324804050581796
1,fetch,2,go_to_object,0.0005530682209372338,,,,0.0005530682209372338,0.011995312692141557,,1.0,0.9851101048901619,
1,fetch,3,put_near,0.000344328391398468,,,,0.000344328391398468,0.005393222564998558,,1.0,0.9920820334621436,
1,fetch,4,unlock_pickup,0.0005124601629322005,,,,0.0005124601629322005,0.005958119623028653,,1.0,0.9916737875698518,
1,fetch,5,pickup_dist,0.0005164747196461803,,,,0.0005164747196461803,0.005767996336822335,,1.0,0.991841537714957,
2,go_to_object,0,go_to_door,0.0003435500517933417,,,,0.0003435500517933417,0.0007893708304013357,,1.0,0.996708280194809,
2,go_to_object,1,fetch,0.00011748637434511779,,,,0.00011748637434511779,0.0004920956521931261,,1.0,0.9973955261382726,
2,go_to_object,2,go_to_object,0.000424169554603424,,,,0.000424169554603424,0.003752863099153089,,1.0,0.9932681734000545,
2,go_to_object,3,put_near,0.0001819465216316505,,,,0.0001819465216316505,0.0007503222637247331,,1.0,0.9964533394737409,
2,go_to_object,4,unlock_pickup,0.00037836722982301506,,,,0.00037836722982301506,0.0008327204107057931,,1.0,0.9964977802321462,
2,go_to_object,5,pickup_dist,0.0003760681511648699,,,,0.0003760681511648699,0.0008122332320354953,,1.0,0.996488454539587,
3,put_near,0,go_to_door,3.211079615058351e-05,,,,3.211079615058351e-05,0.00047585301765120855,,1.0,0.9973948701921076,
3,put_near,1,fetch,1.8975212295806905e-06,,,,1.8975212295806905e-06,0.000607312832138326,,1.0,0.9975889808323124,
3,put_near,2,go_to_object,4.122730608806975e-05,,,,4.122730608806975e-05,0.001273841108426009,,1.0,0.9958398105336888,
3,put_near,3,put_near,9.85454513404222e-06,,,,9.85454513404222e-06,0.0003323608105725581,,1.0,0.9971534050632231,
3,put_near,4,unlock_pickup,3.112804055003882e-05,,,,3.112804055003882e-05,0.0004084925397787944,,1.0,0.997254451902786,
3,put_near,5,pickup_dist,3.178930125826224e-05,,,,3.178930125826224e-05,0.00039491308207559116,,1.0,0.9972390358400817,
