observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,go_to_door,0,go_to_door,32,16,0.7313235998153687,0.7313232421875,0.7313238978385925,0.48046875,0.5047162779889707
0,go_to_door,1,fetch,32,16,0.7303374409675598,0.7297629117965698,0.730911910533905,0.4765625,0.5009010307362234
0,go_to_door,2,go_to_object,32,16,0.7256268858909607,0.7252572178840637,0.7259965538978577,0.48828125,0.5132024372974984
0,go_to_door,3,put_near,32,16,0.7277312278747559,0.727385938167572,0.7280765175819397,0.47265625,0.49662460039620426
0,go_to_door,4,unlock_pickup,32,16,0.726064920425415,0.7257591485977173,0.7263706922531128,0.48828125,0.5129694831171758
0,go_to_door,5,pickup_dist,32,16,0.7279785871505737,0.7282052040100098,0.7277519702911377,0.4921875,0.5051526006504632
1,fetch,0,go_to_door,22,6,0.7119591236114502,0.7169723510742188,0.7100790739059448,0.65625,0.38964646464646463
1,fetch,1,fetch,22,6,0.710844099521637,0.7176154255867004,0.708304762840271,0.6875,0.4232804232804233
1,fetch,2,go_to_object,22,6,0.7063477635383606,0.7086570858955383,0.705481767654419,0.6041666666666666,0.35214646464646465
1,fetch,3,put_near,22,6,0.7076025605201721,0.7137749791145325,0.7052878737449646,0.6666666666666666,0.3940087145969499
1,fetch,4,unlock_pickup,22,6,0.7058956027030945,0.7111980319023132,0.7039072513580322,0.7083333333333334,0.4194083694083694
1,fetch,5,pickup_dist,22,6,0.7094619274139404,0.7122163772583008,0.7084288597106934,0.59375,0.3458184789067142
2,go_to_object,0,go_to_door,32,16,0.7144577503204346,0.7142171859741211,0.714698314666748,0.4609375,0.49540862372276845
2,go_to_object,1,fetch,32,16,0.7122071981430054,0.7127681970596313,0.7116461992263794,0.484375,0.5044703309101908
2,go_to_object,2,go_to_object,32,16,0.708976686000824,0.7093122601509094,0.7086411714553833,0.484375,0.5000029639655599
2,go_to_object,3,put_near,32,16,0.7104684114456177,0.7114672064781189,0.7094695568084717,0.46875,0.5026650369469263
2,go_to_object,4,unlock_pickup,32,16,0.7094727754592896,0.7105530500411987,0.7083925008773804,0.51171875,0.5429584153768936
2,go_to_object,5,pickup_dist,32,16,0.7131593227386475,0.7142212390899658,0.7120974063873291,0.50390625,0.5096079066490086
3,put_near,0,go_to_door,16,0,0.7116625308990479,,0.7116625308990479,,
3,put_near,1,fetch,16,0,0.710045337677002,,0.710045337677002,,
3,put_near,2,go_to_object,16,0,0.7051591873168945,,0.7051591873168945,,
3,put_near,3,put_near,16,0,0.7090325355529785,,0.7090325355529785,,
3,put_near,4,unlock_pickup,16,0,0.7053235173225403,,0.7053235173225403,,
3,put_near,5,pickup_dist,16,0,0.7070183157920837,,0.7070183157920837,,
