observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,go_to_door,0,go_to_door,0.0005518839494622814,1.0,1.0,0.7929398967669561,0.0005345535321750463,0.0019385083162129983,1.0,1.0,0.9953430060521666,0.0004978632967322482
0,go_to_door,1,fetch,0.006496092713004533,,,,0.006496092713004533,0.010419425388612407,,1.0,0.9882517861974996,
0,go_to_door,2,go_to_object,0.00382399495318297,,,,0.00382399495318297,0.013611312366898195,,1.0,0.9846312754066746,
0,go_to_door,3,put_near,0.005949467025493377,,,,0.005949467025493377,0.01323250122021645,,1.0,0.9866079204706109,
0,go_to_door,4,unlock_pickup,0.00662166428933353,,,,0.00662166428933353,0.013103464130496636,,1.0,0.9848075695424492,
0,go_to_door,5,pickup_dist,0.006612227945092841,,,,0.006612227945092841,0.01301162016979907,,1.0,0.9848257304541491,
1,fetch,0,go_to_door,0.003984062127960317,,,,0.003984062127960317,0.009943814021011322,,1.0,0.9870532047061814,
1,fetch,1,fetch,0.00012169497694446325,1.0,1.0,0.7269815087318421,0.0006352628604357382,0.0004240478313758246,1.0,1.0,0.9967377549105317,0.005031690373081281
1,fetch,2,go_to_object,0.0014502301756623556,,,,0.0014502301756623556,0.008078812127517458,,1.0,0.9893017127732354,
1,fetch,3,put_near,0.003265748814267662,,,,0.003265748814267662,0.006891981548924064,,1.0,0.9910500490430321,
1,fetch,4,unlock_pickup,0.003953571331772373,,,,0.003953571331772373,0.008093136670541404,,1.0,0.9889158882586159,
1,fetch,5,pickup_dist,0.00395963659829888,,,,0.00395963659829888,0.008016435662970531,,1.0,0.9889919545280567,
2,go_to_object,0,go_to_door,7.896475248954412e-07,,,,7.896475248954412e-07,0.0029354813960519167,,1.0,0.9940615718317504,
2,go_to_object,1,fetch,7.033839681591109e-07,,,,7.033839681591109e-07,0.00039267536289621106,,1.0,0.9966895264195333,
2,go_to_object,2,go_to_object,6.807278793423479e-09,,,,6.807278793423479e-09,0.0004094945691009559,,1.0,0.9970016506417553,
2,go_to_object,3,put_near,4.6414528866957774e-08,,,,4.6414528866957774e-08,0.0004399878775129224,,1.0,0.9973803093601571,
2,go_to_object,4,unlock_pickup,5.863245868299727e-07,,,,5.863245868299727e-07,0.0012529982198583017,,1.0,0.9957513314219985,
2,go_to_object,5,pickup_dist,6.453543941751975e-07,,,,6.453543941751975e-07,0.0012174816709933894,,1.0,0.9957892314927412,
3,put_near,0,go_to_door,2.912335130376046e-05,,,,2.912335130376046e-05,0.0038410088434667872,,1.0,0.9931559899434594,
3,put_near,1,fetch,2.1585981145949328e-05,,,,2.1585981145949328e-05,0.0008784902494142551,,1.0,0.9961308559937643,
3,put_near,2,go_to_object,1.8463176169454627e-08,,,,1.8463176169454627e-08,0.0047883702727901465,,1.0,0.9922229449154053,
3,put_near,3,put_near,9.429397956371738e-07,,,,9.429397956371738e-07,0.00034358274966183276,,1.0,0.9968013897316881,
3,put_near,4,unlock_pickup,2.196842968380476e-05,,,,2.196842968380476e-05,0.002405816264966927,,1.0,0.9945911825219593,
3,put_near,5,pickup_dist,2.2580921961574407e-05,,,,2.2580921961574407e-05,0.0024113538167854346,,1.0,0.9945856449701408,
