observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,go_to_door,0,go_to_door,32,16,0.6118921637535095,0.6338990926742554,0.5898852348327637,0.64453125,0.6572258167664472
0,go_to_door,1,fetch,32,16,0.6081184148788452,0.6312130689620972,0.5850237607955933,0.65625,0.6549036064849101
0,go_to_door,2,go_to_object,32,16,0.605816125869751,0.6269569993019104,0.5846751928329468,0.6328125,0.6448073385055777
0,go_to_door,3,put_near,32,16,0.6074307560920715,0.6316744089126587,0.5831871032714844,0.65234375,0.6553658968955022
0,go_to_door,4,unlock_pickup,32,16,0.5991443395614624,0.6190898418426514,0.5791987776756287,0.64453125,0.6678744088591303
0,go_to_door,5,pickup_dist,32,16,0.612481951713562,0.6343764066696167,0.5905875563621521,0.64453125,0.6580760447548331
1,fetch,0,go_to_door,22,6,0.6115819215774536,0.6260598301887512,0.6061526536941528,0.6354166666666666,0.35284391534391535
1,fetch,1,fetch,22,6,0.6010482907295227,0.6247273087501526,0.5921686887741089,0.6875,0.38611619861619867
1,fetch,2,go_to_object,22,6,0.6048728823661804,0.6204604506492615,0.5990275144577026,0.65625,0.3667328042328042
1,fetch,3,put_near,22,6,0.6043561100959778,0.621242880821228,0.5980235934257507,0.6458333333333334,0.36197089947089944
1,fetch,4,unlock_pickup,22,6,0.6022528409957886,0.6133657097816467,0.5980855226516724,0.6145833333333334,0.3427401302401302
1,fetch,5,pickup_dist,22,6,0.6124236583709717,0.6290863156318665,0.6061751842498779,0.6354166666666666,0.35174963924963926
2,go_to_object,0,go_to_door,32,16,0.6185222268104553,0.635057806968689,0.6019866466522217,0.6015625,0.6244867636420806
2,go_to_object,1,fetch,32,16,0.6087003350257874,0.626693069934845,0.590707540512085,0.61328125,0.6083386354250324
2,go_to_object,2,go_to_object,32,16,0.6126025319099426,0.6314353942871094,0.5937696099281311,0.61328125,0.6288752990538014
2,go_to_object,3,put_near,32,16,0.6112720370292664,0.6287217736244202,0.5938223004341125,0.609375,0.6331723456062827
2,go_to_object,4,unlock_pickup,32,16,0.6111825108528137,0.6279816627502441,0.5943832993507385,0.6171875,0.6328591340834622
2,go_to_object,5,pickup_dist,32,16,0.6186171174049377,0.6357513666152954,0.6014828681945801,0.609375,0.6235070607497077
3,put_near,0,go_to_door,16,0,0.6074280142784119,,0.6074280142784119,,
3,put_near,1,fetch,16,0,0.6036031246185303,,0.6036031246185303,,
3,put_near,2,go_to_object,16,0,0.602849006652832,,0.602849006652832,,
3,put_near,3,put_near,16,0,0.6029362082481384,,0.6029362082481384,,
3,put_near,4,unlock_pickup,16,0,0.5972473621368408,,0.5972473621368408,,
3,put_near,5,pickup_dist,16,0,0.6073206067085266,,0.6073206067085266,,
