observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,kill_goblin,0,kill_goblin,0.0012112069770099526,0.9999877169377759,0.9967327777938837,0.9901995183899999,0.0011729057992360475,0.0025414863633121836,0.9999914963415372,0.9999999670912364,0.9961004288217324,0.025629311638112995
0,kill_goblin,1,bury_bones,0.0043408844993541125,,,,0.0043408844993541125,0.006488882077911155,,1.0,0.9914665355063157,
0,kill_goblin,2,chop_logs,0.003593643290621143,,,,0.003593643290621143,0.005102914011835312,,1.0,0.9953499298802371,
0,kill_goblin,3,light_fire,0.004806756955606813,,,,0.004806756955606813,0.0062512234859820595,,1.0,0.9921857963392007,
0,kill_goblin,4,catch_fish,0.004723769448390653,,,,0.004723769448390653,0.006290040206839767,,1.0,0.9920929457692241,
1,bury_bones,0,kill_goblin,0.004797588148028247,,,,0.00479758814801373,0.005754538528705672,,1.0,0.9923326532291195,
1,bury_bones,1,bury_bones,0.0007012134408881958,0.9999935602417914,0.9984988785499169,0.9962394014000893,0.0006814854179276606,0.0018056841391218062,0.999991413655722,0.9999999622639812,0.9963359300357174,0.008856199157435185
1,bury_bones,2,chop_logs,0.004242489218337023,,,,0.004242489218332003,0.005420920630743341,,1.0,0.9946266499903386,
1,bury_bones,3,light_fire,0.004961253392686673,,,,0.004961253392683015,0.005942626030423373,,1.0,0.9923981142089799,
1,bury_bones,4,catch_fish,0.004927680710633198,,,,0.004927680710632951,0.005922359504134983,,1.0,0.9923644313817981,
2,chop_logs,0,kill_goblin,0.004193641420577137,,,,0.004193641420577137,0.007747999713454149,,1.0,0.9895616470348471,
2,chop_logs,1,bury_bones,0.004622043485531219,,,,0.004622043485531219,0.00963041033670856,,1.0,0.9875674589444191,
2,chop_logs,2,chop_logs,0.0006655755539779632,0.9998833543968964,0.9825812452428757,0.8858192261031945,0.00023639071817929306,0.0019276032731428674,0.9999797936750529,0.9999999239909083,0.9972153959304003,0.0881630779627578
2,chop_logs,3,light_fire,0.004435252785976662,,,,0.004435252785976662,0.008296460548805925,,1.0,0.9890150595711071,
2,chop_logs,4,catch_fish,0.004368894961868431,,,,0.004368894961868431,0.008240452270141122,,1.0,0.9890697854563281,
