condition,policy_mode,successes,episodes,aggregate_success
clean_no_adapt,sampled,169,300,0.5633333333333334
clean_no_adapt,deterministic,74,150,0.49333333333333335
corrupt_no_adapt,sampled,85,300,0.2833333333333333
corrupt_no_adapt,deterministic,62,150,0.41333333333333333
standard_ir_h3,sampled,107,300,0.3566666666666667
standard_ir_h3,deterministic,27,150,0.18
standard_ir_h6,sampled,88,300,0.29333333333333333
standard_ir_h6,deterministic,28,150,0.18666666666666668
standard_ir_h15,sampled,63,300,0.21
standard_ir_h15,deterministic,25,150,0.16666666666666666
standard_ir_h20,sampled,103,300,0.3433333333333333
standard_ir_h20,deterministic,38,150,0.25333333333333335
entropy_off_ir_h3,sampled,83,300,0.27666666666666667
entropy_off_ir_h3,deterministic,25,150,0.16666666666666666
entropy_off_ir_h6,sampled,74,300,0.24666666666666667
entropy_off_ir_h6,deterministic,25,150,0.16666666666666666
entropy_off_ir_h15,sampled,86,300,0.2866666666666667
entropy_off_ir_h15,deterministic,23,150,0.15333333333333332
entropy_off_ir_h20,sampled,81,300,0.27
entropy_off_ir_h20,deterministic,30,150,0.2
reward_only_ir_h3,sampled,163,300,0.5433333333333333
reward_only_ir_h3,deterministic,111,150,0.74
reward_only_ir_h6,sampled,176,300,0.5866666666666667
reward_only_ir_h6,deterministic,112,150,0.7466666666666667
reward_only_ir_h15,sampled,219,300,0.73
reward_only_ir_h15,deterministic,114,150,0.76
reward_only_ir_h20,sampled,204,300,0.68
reward_only_ir_h20,deterministic,128,150,0.8533333333333334
reference_distill,sampled,145,300,0.48333333333333334
reference_distill,deterministic,70,150,0.4666666666666667
