actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,success_rate,successes
0.0,nan,nan,nan,nan,nan,clean,True,clean_no_adapt,0,True,100,clean,kill_goblin,0,True,13561,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/clean_no_adapt/kill_goblin/sampled/attempt_01,134.61,169.0,standard,sampled,100,100,0,2000,0.54,54
0.0,nan,nan,nan,nan,nan,clean,True,clean_no_adapt,0,True,50,clean,kill_goblin,0,True,8151,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/clean_no_adapt/kill_goblin/deterministic/attempt_01,162.02,200.0,standard,deterministic,50,50,0,2000,0.32,16
0.0,nan,nan,nan,nan,nan,clean,True,clean_no_adapt,0,True,100,clean,bury_bones,0,True,14336,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/clean_no_adapt/bury_bones/sampled/attempt_01,142.36,200.0,standard,sampled,100,100,0,2000,0.41,41
0.0,nan,nan,nan,nan,nan,clean,True,clean_no_adapt,0,True,50,clean,bury_bones,0,True,6724,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/clean_no_adapt/bury_bones/deterministic/attempt_01,133.48,200.0,standard,deterministic,50,50,0,2000,0.42,21
0.0,nan,nan,nan,nan,nan,clean,True,clean_no_adapt,0,True,100,clean,chop_logs,0,True,12341,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/clean_no_adapt/chop_logs/sampled/attempt_01,122.41,120.5,standard,sampled,100,100,,2000,0.74,74
0.0,nan,nan,nan,nan,nan,clean,True,clean_no_adapt,0,True,50,clean,chop_logs,0,True,5224,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/clean_no_adapt/chop_logs/deterministic/attempt_01,103.48,70.5,standard,deterministic,50,50,0,2000,0.74,37
0.0,nan,nan,nan,nan,nan,corrupt,True,corrupt_no_adapt,0,True,100,corrupt,kill_goblin,0,True,15581,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/corrupt_no_adapt/kill_goblin/sampled/attempt_01,154.81,200.0,standard,sampled,100,100,0,2000,0.36,36
0.0,nan,nan,nan,nan,nan,corrupt,True,corrupt_no_adapt,0,True,50,corrupt,kill_goblin,0,True,5522,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/corrupt_no_adapt/kill_goblin/deterministic/attempt_01,109.44,106.5,standard,deterministic,50,50,0,2000,0.68,34
0.0,nan,nan,nan,nan,nan,corrupt,True,corrupt_no_adapt,0,True,100,corrupt,bury_bones,0,True,19149,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/corrupt_no_adapt/bury_bones/sampled/attempt_01,190.49,200.0,standard,sampled,100,100,0,2000,0.06,6
0.0,nan,nan,nan,nan,nan,corrupt,True,corrupt_no_adapt,0,True,50,corrupt,bury_bones,0,True,8691,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/corrupt_no_adapt/bury_bones/deterministic/attempt_01,172.82,200.0,standard,deterministic,50,50,0,2000,0.18,9
