actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,checkpoint_label,checkpoint_step,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,source_checkpoint,success_rate,successes
0.0,nan,nan,nan,nan,nan,natural,step_0001250000,1250000,True,frozen,0,True,100,frozen,kill_goblin,0,True,12835,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/frozen/kill_goblin/sampled/attempt_01,127.35,138.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.56,56
0.0,nan,nan,nan,nan,nan,natural,step_0001250000,1250000,True,frozen,0,True,50,frozen,kill_goblin,0,True,6297,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/frozen/kill_goblin/deterministic/attempt_01,124.94,138.5,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.64,32
0.0,nan,nan,nan,nan,nan,natural,step_0001250000,1250000,True,frozen,0,True,100,frozen,bury_bones,0,True,10566,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/frozen/bury_bones/sampled/attempt_01,104.66,118.5,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.71,71
0.0,nan,nan,nan,nan,nan,natural,step_0001250000,1250000,True,frozen,0,True,50,frozen,bury_bones,0,True,7309,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/frozen/bury_bones/deterministic/attempt_01,145.18,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.36,18
0.0,nan,nan,nan,nan,nan,natural,step_0001250000,1250000,True,frozen,0,True,100,frozen,chop_logs,0,True,9749,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/frozen/chop_logs/sampled/attempt_01,96.49,76.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.84,84
0.0,nan,nan,nan,nan,nan,natural,step_0001250000,1250000,True,frozen,0,True,50,frozen,chop_logs,0,True,4959,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/frozen/chop_logs/deterministic/attempt_01,98.18,76.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.78,39
0.0003,0.04589816533841515,0.0012746152888883904,132.41,1.3107622212121704e-05,132.41,natural,step_0001250000,1250000,True,standard_ir_h6,0,True,100,standard_ir,kill_goblin,6,True,13341,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/standard_ir_h6/kill_goblin/sampled/attempt_01,132.41,164.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.61,61
0.0003,0.03363545108886174,0.002999327196889075,128.68,1.2170356011828086e-05,128.68,natural,step_0001250000,1250000,True,standard_ir_h6,0,True,50,standard_ir,kill_goblin,6,True,6484,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/standard_ir_h6/kill_goblin/deterministic/attempt_01,128.68,148.5,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.6,30
0.0003,0.03878847092921105,0.00023456782357015923,192.51,1.1462009459988168e-05,192.51,natural,step_0001250000,1250000,True,standard_ir_h6,0,True,100,standard_ir,bury_bones,6,True,19351,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/standard_ir_h6/bury_bones/sampled/attempt_01,192.51,200.0,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.07,7
0.0003,0.04280391427301959,0.0010004945406489828,187.74,1.1980566408224717e-05,187.74,natural,step_0001250000,1250000,True,standard_ir_h6,0,True,50,standard_ir,bury_bones,6,True,9437,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/standard_ir_h6/bury_bones/deterministic/attempt_01,187.74,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.12,6
