observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,kill_goblin,0,kill_goblin,128,64,1.5611703395843506,1.5300383567810059,1.5923023223876953,0.386474609375,0.43184946778749966
0,kill_goblin,1,bury_bones,128,64,1.5457656383514404,1.5415306091308594,1.5500006675720215,0.46044921875,0.4777651227878932
0,kill_goblin,2,chop_logs,128,64,1.1323351860046387,1.1283581256866455,1.136312484741211,0.48583984375,0.4734889485415691
0,kill_goblin,3,light_fire,128,64,1.4115746021270752,1.3831675052642822,1.4399815797805786,0.404052734375,0.43027820551681406
0,kill_goblin,4,catch_fish,128,64,1.4060726165771484,1.3771693706512451,1.4349758625030518,0.399169921875,0.42806039418746916
1,bury_bones,0,kill_goblin,128,64,1.28786039352417,1.1382941007614136,1.4374265670776367,0.1416015625,0.3344768031231946
1,bury_bones,1,bury_bones,128,64,1.3994026184082031,1.2340590953826904,1.5647461414337158,0.135009765625,0.3317165342802282
1,bury_bones,2,chop_logs,128,64,1.080681562423706,1.0773680210113525,1.0839951038360596,0.498046875,0.4569598309204974
1,bury_bones,3,light_fire,128,64,1.240183711051941,1.1146889925003052,1.3656784296035767,0.18115234375,0.3441806416951285
1,bury_bones,4,catch_fish,128,64,1.2326853275299072,1.1135165691375732,1.3518539667129517,0.18212890625,0.3443238796610134
2,chop_logs,0,kill_goblin,128,64,1.194981336593628,1.1679377555847168,1.22202467918396,0.41357421875,0.42989720724551395
2,chop_logs,1,bury_bones,128,64,1.2387722730636597,1.2083967924118042,1.2691477537155151,0.451171875,0.45290492436272345
2,chop_logs,2,chop_logs,128,64,0.8650738000869751,0.877595067024231,0.8525526523590088,0.5849609375,0.5383523788004108
2,chop_logs,3,light_fire,128,64,1.0083523988723755,0.9984908103942871,1.0182141065597534,0.47607421875,0.46595077748389824
2,chop_logs,4,catch_fish,128,64,1.0043272972106934,0.9937968850135803,1.0148577690124512,0.4716796875,0.46448005565620604
