observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,kill_goblin,0,kill_goblin,0.010030290582082253,0.6185591711708976,0.005526344627276747,0.0020776107332975166,0.006190554500713631,0.015882276502509445,0.46120936702902954,0.9954544145440439,0.9853461916838644,0.9916384136304259
0,kill_goblin,1,bury_bones,0.0008760321065244236,,,,0.0008760321065244236,0.013210003583253116,,1.0,0.9837992526879292,
0,kill_goblin,2,chop_logs,0.002565469495821635,,,,0.002565469495821635,0.00710678432143535,,1.0,0.9905959638352836,
0,kill_goblin,3,light_fire,0.006081775640008304,,,,0.006081775640008304,0.011267792538520572,,1.0,0.9861717154438108,
0,kill_goblin,4,catch_fish,0.005868284841525234,,,,0.005868284841525234,0.011608004996849419,,1.0,0.9858008226105933,
1,bury_bones,0,kill_goblin,0.006754091307349649,,,,0.006754091307349649,0.010275064153920765,,1.0,0.9872417429513742,
1,bury_bones,1,bury_bones,0.005020610409800033,0.9583914222847777,0.2670448407594018,0.16370632729543022,0.0012276098034347614,0.013594956012764073,0.944848716326967,0.9996971520722032,0.9869141205338211,0.7775445485603996
1,bury_bones,2,chop_logs,0.002129120783349959,,,,0.002129120783349959,0.005298239730772109,,1.0,0.9924558242127536,
1,bury_bones,3,light_fire,0.006903115139440308,,,,0.006903115139440308,0.009515978189073735,,1.0,0.9880113019292808,
1,bury_bones,4,catch_fish,0.006619013369369319,,,,0.006619013369369319,0.00977664261126878,,1.0,0.9877183306141002,
2,chop_logs,0,kill_goblin,0.02489034404380424,,,,0.02489034404380424,0.02235513798636688,,1.0,0.9749963354490565,
2,chop_logs,1,bury_bones,0.005047201315003173,,,,0.005047201315003173,0.020305743681916243,,1.0,0.9766936786181456,
2,chop_logs,2,chop_logs,0.013016577585622949,0.9930741502670382,0.7138203606216058,0.7980432298199958,0.012312804849487453,0.01260543428249515,0.994766722541507,0.9999800906814839,0.9858245386123661,0.22759420580733547
2,chop_logs,3,light_fire,0.024335824413829293,,,,0.024335824413829293,0.02082075374424037,,1.0,0.9765255656923729,
2,chop_logs,4,catch_fish,0.02396602054566575,,,,0.02396602054566575,0.021347002250302848,,1.0,0.975973181139073,
