observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,kill_goblin,0,kill_goblin,128,64,0.9567180275917053,0.9584800004959106,0.9549560546875,0.55712890625,0.5799187504885955
0,kill_goblin,1,bury_bones,128,64,0.9689987897872925,0.9702239632606506,0.9677734971046448,0.541259765625,0.5803526550558112
0,kill_goblin,2,chop_logs,128,64,0.9560515284538269,0.9577958583831787,0.9543071985244751,0.556884765625,0.5835888568577117
0,kill_goblin,3,light_fire,128,64,0.9575618505477905,0.9592540860176086,0.9558696746826172,0.55126953125,0.5628232473550184
0,kill_goblin,4,catch_fish,128,64,0.956964910030365,0.958685576915741,0.955244243144989,0.54833984375,0.5682372371453666
1,bury_bones,0,kill_goblin,128,64,0.9563090801239014,0.9642524719238281,0.9483656883239746,0.557861328125,0.527442379766122
1,bury_bones,1,bury_bones,128,64,0.9746619462966919,0.9774458408355713,0.9718779921531677,0.65380859375,0.57220491018724
1,bury_bones,2,chop_logs,128,64,0.9547111988067627,0.9643291234970093,0.9450933933258057,0.58642578125,0.5444767338167744
1,bury_bones,3,light_fire,128,64,0.959071159362793,0.9675159454345703,0.9506263732910156,0.598876953125,0.5555159261344209
1,bury_bones,4,catch_fish,128,64,0.9590286016464233,0.9671653509140015,0.9508917927742004,0.597412109375,0.5497037898587442
2,chop_logs,0,kill_goblin,128,64,0.9470384120941162,0.9562304019927979,0.9378464221954346,0.579345703125,0.5804791727739714
2,chop_logs,1,bury_bones,128,64,0.9644532799720764,0.966864287853241,0.9620422124862671,0.5302734375,0.5157135568735889
2,chop_logs,2,chop_logs,128,64,0.945820689201355,0.9552571773529053,0.9363842010498047,0.55859375,0.5489534647836047
2,chop_logs,3,light_fire,128,64,0.9476304054260254,0.9566267728805542,0.9386340379714966,0.56298828125,0.5572433279544569
2,chop_logs,4,catch_fish,128,64,0.9471727013587952,0.9559675455093384,0.938377857208252,0.562255859375,0.5544757237930613
