goal,goal_name,target,bin,count,prediction_mean,target_mean,prediction_min,prediction_max
0,kill_goblin,inclusive,0,1653,0.5724356770515442,0.0,0.324191689491272,0.680931568145752
0,kill_goblin,inclusive,1,1653,0.780171811580658,0.00044917783816345036,0.6811680793762207,0.8607045412063599
0,kill_goblin,inclusive,2,1653,0.903399646282196,0.07548654824495316,0.8607679605484009,0.9252082705497742
0,kill_goblin,inclusive,3,1653,0.9358742237091064,0.13137845695018768,0.9252138137817383,0.9442051649093628
0,kill_goblin,inclusive,4,1653,0.9489561319351196,0.18494156002998352,0.9442079067230225,0.9538342952728271
0,kill_goblin,inclusive,5,1653,0.9589935541152954,0.2548411190509796,0.9538392424583435,0.964107871055603
0,kill_goblin,inclusive,6,1653,0.9688340425491333,0.23826028406620026,0.9641100764274597,0.9738113880157471
0,kill_goblin,inclusive,7,1653,0.9787842631340027,0.2602238059043884,0.9738202691078186,0.9840815663337708
0,kill_goblin,inclusive,8,1653,0.991230309009552,0.36055687069892883,0.9840866327285767,0.9999369382858276
0,kill_goblin,inclusive,9,1653,1.0169237852096558,0.4333522319793701,0.9999477863311768,1.0978978872299194
0,kill_goblin,exclusive,0,1653,0.5724356770515442,0.0,0.324191689491272,0.680931568145752
0,kill_goblin,exclusive,1,1653,0.780171811580658,0.00044917783816345036,0.6811680793762207,0.8607045412063599
0,kill_goblin,exclusive,2,1653,0.903399646282196,0.07548654824495316,0.8607679605484009,0.9252082705497742
0,kill_goblin,exclusive,3,1653,0.9358742237091064,0.13137845695018768,0.9252138137817383,0.9442051649093628
0,kill_goblin,exclusive,4,1653,0.9489561319351196,0.18373164534568787,0.9442079067230225,0.9538342952728271
0,kill_goblin,exclusive,5,1653,0.9589935541152954,0.2518163323402405,0.9538392424583435,0.964107871055603
0,kill_goblin,exclusive,6,1653,0.9688340425491333,0.2346305102109909,0.9641100764274597,0.9738113880157471
0,kill_goblin,exclusive,7,1653,0.9787842631340027,0.2529642879962921,0.9738202691078186,0.9840815663337708
0,kill_goblin,exclusive,8,1653,0.991230309009552,0.3545072376728058,0.9840866327285767,0.9999369382858276
0,kill_goblin,exclusive,9,1653,1.0169237852096558,0.41580837965011597,0.9999477863311768,1.0978978872299194
1,bury_bones,inclusive,0,1410,0.4562414586544037,0.0007028496474958956,0.18648210167884827,0.5543933510780334
1,bury_bones,inclusive,1,1410,0.5937221646308899,0.041916463524103165,0.5544028878211975,0.6420754194259644
1,bury_bones,inclusive,2,1409,0.7159571051597595,0.041290033608675,0.6421389579772949,0.780210018157959
1,bury_bones,inclusive,3,1410,0.8231601119041443,0.056579601019620895,0.780292809009552,0.8543630838394165
1,bury_bones,inclusive,4,1409,0.8894621729850769,0.10281309485435486,0.8544222116470337,0.9247034192085266
1,bury_bones,inclusive,5,1410,0.9420886039733887,0.048917438834905624,0.9247602820396423,0.9534496068954468
