actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,agent_seed,canonical_stage,checkpoint_kind,complete,compute_actor_updates_mean,compute_actor_updates_sum,compute_adapt_seconds_mean,compute_adapt_seconds_sum,compute_cheap_seconds_mean,compute_cheap_seconds_sum,compute_consequence_seconds_mean,compute_consequence_seconds_sum,compute_imagined_transitions_mean,compute_imagined_transitions_sum,compute_posterior_samples_mean,compute_posterior_samples_sum,condition,deaths,direction_threshold,entropy_threshold,environment_seed,environment_steps,episode_count_exact,episodes,evaluation_seconds,family,gate_actor_entropy_mean,gate_actor_entropy_sum,gate_cheap_pass_mean,gate_cheap_pass_sum,gate_consequence_evaluated_mean,gate_consequence_evaluated_sum,gate_consequence_pass_mean,gate_consequence_pass_sum,gate_enabled,gate_evaluated_mean,gate_evaluated_sum,gate_final_pass_mean,gate_final_pass_sum,gate_js_disagreement_mean,gate_js_disagreement_sum,gate_kind,gate_posterior_entropy_mean,gate_posterior_entropy_sum,gate_success_action_concentration_mean,gate_success_action_concentration_sum,gate_success_action_divergence_mean,gate_success_action_divergence_sum,gate_success_rate_mean,gate_success_rate_sum,goal,horizon,integrity_equal,js_threshold,last_step,logdir,mean_action_length,median_action_length,min_success_rate,mix_beta,objective,objective_label,paired_rng_verified,phase,policy_mode,replicate,requested_episodes,reset_count,returncode,seed,source_checkpoint,steps_per_second,success_rate,successes,trace_rows,warmup_episodes,warmup_seconds
0.0,nan,nan,nan,nan,0.0,61000,stage5a,stage4a_counterfactual_bounded,True,0.0,0.0,0.0,0.0,0.0011073554832170497,3.59558325400576,0.006684940092926452,21.70600048173219,1920.0,6234240.0,256.0,831232.0,no_ir,0,1.0,1.0,51000,3267,True,20,392.46484342199983,no_ir,0.1468840542204945,476.9325240539456,1.0,3247.0,1.0,3247.0,0.0,0.0,False,1.0,3247.0,0.0,0.0,0.003173243709360571,10.303522324293773,none,0.1470159606901295,477.36082436085053,0.8777964291735579,2850.2050055265427,0.061063537148470216,198.27330512108279,0.02375750692947336,77.140625,kill_goblin,15,True,1.0,3468,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/no_ir/kill_goblin/sampled/attempt_01,162.35,200.0,0.03125,0.0,standard,no_ir,True,audit,sampled,0,20,21,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.324312495137663,0.25,5,3267,1,51.09613140899455
0.0,nan,nan,nan,nan,0.0,61000,stage5a,stage4a_counterfactual_bounded,True,0.0,0.0,0.0,0.0,0.0011180341658260378,1.336050828162115,0.006683607195274102,7.9869105983525515,1920.0,2294400.0,256.0,305920.0,no_ir,0,1.0,1.0,51000,1205,True,10,144.33581238499028,no_ir,0.1457712322235852,174.19662250718432,1.0,1195.0,1.0,1195.0,0.0,0.0,False,1.0,1195.0,0.0,0.0,0.005143069424272685,6.145967962005859,none,0.1455993468966074,173.99121954144584,0.866864232338622,1035.9027576446533,0.03663987257071279,43.784647722001786,0.010636767782426778,12.7109375,kill_goblin,15,True,1.0,1406,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/no_ir/kill_goblin/deterministic/attempt_01,119.5,140.0,0.03125,0.0,standard,no_ir,True,audit,deterministic,0,10,11,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.348586397850282,0.8,8,1205,1,39.53874955201172
0.0,nan,nan,nan,nan,0.0,61000,stage5a,stage4a_counterfactual_bounded,True,0.0,0.0,0.0,0.0,0.0011268918966265932,3.9993393411277793,0.006712418926575883,23.82237477041781,1920.0,6814080.0,256.0,908544.0,no_ir,0,1.0,1.0,51000,3569,True,20,428.72205522700096,no_ir,0.1470024587983129,521.7117262752124,1.0,3549.0,1.0,3549.0,0.0,0.0,False,1.0,3549.0,0.0,0.0,0.0031305842167165185,11.110443385126924,none,0.14676383785550218,520.8648605491773,0.8624248811647098,3060.7459032535553,0.022959255245334247,81.48239686569124,0.002960781205973514,10.5078125,bury_bones,15,True,1.0,3770,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/no_ir/bury_bones/sampled/attempt_01,177.45,200.0,0.03125,0.0,standard,no_ir,True,audit,sampled,0,20,21,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.324740834968884,0.2,4,3569,1,35.33002047400805
0.0,nan,nan,nan,nan,0.0,61000,stage5a,stage4a_counterfactual_bounded,True,0.0,0.0,0.0,0.0,0.0011205936921948206,1.9453506496502087,0.006699222835287246,11.629850842058659,1920.0,3333120.0,256.0,444416.0,no_ir,0,1.0,1.0,51000,1746,True,10,209.4998305879999,no_ir,0.38539725297863703,669.0496311709139,1.0,1736.0,1.0,1736.0,0.0,0.0,False,1.0,1736.0,0.0,0.0,0.0018788096074799235,3.261613478585147,none,0.38561678866774807,669.4307451272107,0.6395820129645585,1110.3143745064735,0.04190314543433946,72.7438604740133,0.006705429147465438,11.640625,bury_bones,15,True,1.0,1947,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/no_ir/bury_bones/deterministic/attempt_01,173.6,200.0,0.03125,0.0,standard,no_ir,True,audit,deterministic,0,10,11,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.334135617673432,0.3,3,1746,1,35.19433329900494
0.0,nan,nan,nan,nan,0.0,61000,stage5a,stage4a_counterfactual_bounded,True,0.0,0.0,0.0,0.0,0.001113340051507933,1.830331044679042,0.006687859655357897,10.994841273408383,1920.0,3156480.0,256.0,420864.0,no_ir,0,1.0,1.0,51000,1664,True,20,199.07242270899587,no_ir,0.45624927039592644,750.0738005309031,1.0,1644.0,1.0,1644.0,0.0,0.0,False,1.0,1644.0,0.0,0.0,0.0022430731633797693,3.6876122805963405,none,0.45694537907669935,751.2182032020937,0.7134573731544244,1172.9239214658737,0.24514131778531192,403.0123264390528,0.06670088199513383,109.65625,chop_logs,15,True,1.0,1800,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/no_ir/chop_logs/sampled/attempt_01,82.2,87.5,0.03125,0.0,standard,no_ir,True,audit,sampled,0,20,21,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.358767012307052,0.95,19,1664,1,31.53371791698737
0.0,nan,nan,nan,nan,0.0,61000,stage5a,stage4a_counterfactual_bounded,True,0.0,0.0,0.0,0.0,0.0011191449260049017,1.2825400852016173,0.0067022692913556855,7.680800607893616,1920.0,2200320.0,256.0,293376.0,no_ir,0,1.0,1.0,51000,1156,True,10,138.39948116400046,no_ir,0.4534765658081628,519.6841444161546,1.0,1146.0,1.0,1146.0,0.0,0.0,False,1.0,1146.0,0.0,0.0,0.0015250758764497206,1.7477369544113799,none,0.45445136529012986,520.8012646224888,0.5947418917120023,681.5742079019547,0.06850795368118963,78.51011491864331,0.023914703315881327,27.40625,chop_logs,15,True,1.0,1357,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/no_ir/chop_logs/deterministic/attempt_01,114.6,99.0,0.03125,0.0,standard,no_ir,True,audit,deterministic,0,10,11,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.352632468543465,0.6,6,1156,1,35.27306799299549
0.0,0.03781070419942588,-0.003056437066825234,131.5,1.389422943692206e-05,131.5,61000,stage5a,stage4a_counterfactual_bounded,True,1.0,2630.0,0.009308056360528496,24.480188228189945,0.00111377779695386,2.9292356059886515,0.006679628713113103,17.567423515487462,1920.0,5049600.0,256.0,673280.0,always_standard,0,1.0,1.0,51000,2650,True,20,351.43721124800504,always,0.10428597124494197,274.2721043741974,1.0,2630.0,1.0,2630.0,0.0,0.0,False,1.0,2630.0,1.0,2630.0,0.0028784786185621605,7.5703987668184824,none,0.10428244162239857,274.26282146690824,0.9102737822686765,2394.020047366619,0.03893936285992763,102.41052432160966,0.06564282319391634,172.640625,kill_goblin,15,True,1.0,2851,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/always_standard/kill_goblin/sampled/attempt_01,131.5,195.0,0.03125,0.0,standard,standard,True,audit,sampled,0,20,21,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.5404650252870535,0.5,10,2650,1,39.90888193700812
0.0,0.0362378403914324,-0.004856916555184559,155.5,1.3644873085517542e-05,155.5,61000,stage5a,stage4a_counterfactual_bounded,True,1.0,1555.0,0.009244862356345945,14.375760964117944,0.001090862224151012,1.6962907585548237,0.006673392934958268,10.377126013860106,1920.0,2985600.0,256.0,398080.0,always_standard,0,1.0,1.0,51000,1565,True,10,206.98860897199484,always,0.11427398927472562,177.69605332219834,1.0,1555.0,1.0,1555.0,0.0,0.0,False,1.0,1555.0,1.0,1555.0,0.0035805396447113817,5.567739147526199,none,0.11358509402476381,176.62482120850774,0.8962352904476153,1393.6458766460419,0.03370079449323004,52.40473543697271,0.024768890675241156,38.515625,kill_goblin,15,True,1.0,1766,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/always_standard/kill_goblin/deterministic/attempt_01,155.5,200.0,0.03125,0.0,standard,standard,True,audit,deterministic,0,10,11,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.56080253774613,0.4,4,1565,1,39.50260945898481
0.0,0.036490487288374035,0.003084418147341379,181.6,1.3331669415250869e-05,181.6,61000,stage5a,stage4a_counterfactual_bounded,True,1.0,3632.0,0.009275201537814566,33.6875319853425,0.0010891064914240346,3.9556347768520936,0.0066560185707988636,24.174659449141473,1920.0,6973440.0,256.0,929792.0,always_standard,0,1.0,1.0,51000,3652,True,20,482.908489147987,always,0.08831818541318703,320.7716494206953,1.0,3632.0,1.0,3632.0,0.0,0.0,False,1.0,3632.0,1.0,3632.0,0.0026062353682513844,9.465846857489028,none,0.08790051818028445,319.2546820307931,0.9198025308615048,3340.7227920889854,0.023661148787027502,85.93729239448389,0.06652240501101321,241.609375,bury_bones,15,True,1.0,3853,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/always_standard/bury_bones/sampled/attempt_01,181.6,200.0,0.03125,0.0,standard,standard,True,audit,sampled,0,20,21,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.562509423769618,0.2,4,3652,1,39.588959489017725
0.0,0.02996701996000047,0.010176653021598214,200.0,1.1732250474324243e-05,200.0,61000,stage5a,stage4a_counterfactual_bounded,True,1.0,2000.0,0.009291428902186453,18.582857804372907,0.0010997684786270838,2.1995369572541676,0.006678434145171195,13.35686829034239,1920.0,3840000.0,256.0,512000.0,always_standard,0,1.0,1.0,51000,2010,True,10,266.76461196600576,always,0.15066540558064725,301.3308111612945,1.0,2000.0,1.0,2000.0,0.0,0.0,False,1.0,2000.0,1.0,2000.0,0.0028083781882919543,5.616756376583909,none,0.15118399684561643,302.36799369123287,0.8536991469860077,1707.3982939720154,0.019825737362615035,39.65147472523007,0.03380859375,67.6171875,bury_bones,15,True,1.0,2211,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/audit/replicate_00/always_standard/bury_bones/deterministic/attempt_01,200.0,200.0,0.03125,0.0,standard,standard,True,audit,deterministic,0,10,11,0,51000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.534732531375404,0.0,0,2010,1,44.145113654987654
