actor_updates,actor_updates_per_step,adapt_seconds,advances,condition,environment_steps,episodes,evaluation_seconds,gate_kind,gate_seconds,imagined_compute_saved_vs_always,imagined_transitions,imagined_transitions_per_step,mean_delta_vs_always,mean_goal_success,objective_label,paired_delta_vs_always,policy_mode,replicate_positive_delta_count,seconds_per_step,wall_overhead_saved_vs_always,worst_delta_vs_always,worst_goal_success
54292.0,0.9917796207665047,802.4492540378124,False,always_mixed_b005,54742,450,7144.6008959959145,none,0.0,0.0,104240640.0,1904.216871871689,0.0,0.6177777777777778,mixed_b005,0.0,sampled,0,0.13051406408234836,0.0,0.0,0.29333333333333333
42671.0,0.989564249437629,630.8124588336796,False,always_reward_only,43121,450,5638.800803991908,none,0.0,0.0,81928320.0,1899.9633589202476,0.0,0.8222222222222223,reward_only,0.0,sampled,0,0.13076693035857026,0.0,0.0,0.6666666666666666
65646.0,0.9931917211328976,944.5314588155597,False,always_standard,66096,450,8607.863543035928,none,0.0,0.0,126040320.0,1906.9281045751634,0.0,0.4177777777777778,standard,0.0,sampled,0,0.1302327454465615,0.0,0.0,0.16
11277.0,0.20245960502692997,165.96195820439607,False,entropy_mixed_b005,55700,450,6830.90437283006,entropy,61.514703594730236,0.7958623057101561,21651840.0,388.72244165170554,0.0022222222222221997,0.62,mixed_b005,0.002222222222222192,sampled,2,0.1226374214152614,0.7300786369367672,-0.020000000000000018,0.30666666666666664
13740.0,0.24537466961925852,202.21426726598293,False,entropy_reward_only,55996,450,6902.836344093026,entropy,61.67160427296767,0.7520376572226559,26380800.0,471.11936566897634,-0.21111111111111114,0.6111111111111112,reward_only,-0.21111111111111114,sampled,0,0.12327373998308855,0.6786310891870446,-0.5133333333333334,0.42
12819.0,0.20109812534316418,183.96019583754241,True,entropy_standard,63745,450,7813.509961165953,entropy,69.66129971912596,0.7975233572086375,24612480.0,386.1084006588752,0.05111111111111114,0.4688888888888889,standard,0.051111111111111114,sampled,2,0.12257447582031458,0.7288425305314556,0.0,0.16
29020.0,0.5051085234887648,427.1053459662944,False,js_mixed_b005,57453,450,7268.546183380939,js,63.86511492077261,0.49070487746220515,55718400.0,969.8083650984282,-0.07333333333333332,0.5444444444444444,mixed_b005,-0.07333333333333333,sampled,1,0.12651290939343357,0.37086328337101104,-0.29333333333333333,0.0
28605.0,0.527290825637339,420.78386182151735,False,js_reward_only,54249,450,6872.5480682480265,js,60.077020119759254,0.46714846869518656,54921600.0,1012.3983852236908,-0.21111111111111114,0.611111111111111,reward_only,-0.21111111111111114,sampled,1,0.12668524891238597,0.36966309231940786,-0.6266666666666667,0.30666666666666664
35274.0,0.5034036905424498,506.35728839505464,False,js_standard,70071,450,8836.120785764884,js,76.96243057597894,0.4931455026948518,67726080.0,966.5350858415036,-0.046666666666666634,0.3711111111111111,standard,-0.046666666666666676,sampled,1,0.12610239308365634,0.39308833654132724,-0.14,0.02
0.0,0.0,0.0,False,no_ir,62722,450,7509.410568010004,none,0.0,nan,0.0,0.0,0.0,0.47555555555555556,no_ir,0.0,sampled,0,0.11972530480549096,nan,0.0,0.11333333333333333
2681.0,0.04733320386292615,33.18549305293709,False,two_stage_mixed_b005,56641,450,6845.835998496041,two_stage,327.55012890166836,0.29280419141346103,76275840.0,1346.6541904274288,-0.008888888888888854,0.6088888888888889,mixed_b005,-0.008888888888888877,sampled,1,0.12086361466951573,0.8944911240659043,-0.09999999999999998,0.4066666666666667
3175.0,0.05311229696047107,43.73422518931329,False,two_stage_reward_only,59779,450,7236.786007500952,two_stage,341.20414956571767,0.3036448702424924,79090560.0,1323.0492313354189,-0.2733333333333333,0.5488888888888889,reward_only,-0.2733333333333333,sampled,0,0.12105900077788107,0.8792119904828537,-0.6066666666666667,0.32666666666666666
2714.0,0.04178084300625019,35.71742125414312,False,two_stage_standard,64958,450,7846.655514815997,two_stage,374.0220804392011,0.29617184124194973,87183360.0,1342.149696727116,0.06222222222222224,0.48,standard,0.06222222222222223,sampled,3,0.12079582984106649,0.8981174320042162,-0.07999999999999996,0.25333333333333335
27116.0,0.9917706009290077,400.5618221061304,False,always_mixed_b005,27341,225,3577.0101255251793,none,0.0,0.0,52062720.0,1904.199553783695,0.0,0.5955555555555555,mixed_b005,0.0,deterministic,0,0.13082952801745287,0.0,0.0,0.24
25476.0,0.9912454768296953,376.39015004690737,False,always_reward_only,25701,225,3359.3305092438823,none,0.0,0.0,48913920.0,1903.191315513015,0.0,0.6533333333333333,reward_only,0.0,deterministic,0,0.13070816346616404,0.0,0.0,0.6266666666666667
37115.0,0.9939742903053026,534.1304934211075,False,always_standard,37340,225,4866.64682046196,none,0.0,0.0,71260800.0,1908.430637386181,0.0,0.2888888888888889,standard,0.0,deterministic,0,0.13033333745211462,0.0,0.0,0.013333333333333334
6240.0,0.20533070088845015,91.77124046161771,False,entropy_mixed_b005,30390,225,3726.2119818149367,entropy,33.47603172675008,0.7929655298351116,11980800.0,394.23494570582426,-0.11111111111111112,0.48444444444444446,mixed_b005,-0.1111111111111111,deterministic,1,0.12261309581490414,0.7390955703603317,-0.24000000000000005,0.2
8063.0,0.27251833575556833,118.47073236946017,False,entropy_reward_only,29587,225,3657.464714088943,entropy,32.533762492996175,0.7250748254335899,15480960.0,523.2352046506912,-0.1377777777777778,0.5155555555555555,reward_only,-0.13777777777777778,deterministic,0,0.1236172884742942,0.6448882733309813,-0.45333333333333337,0.17333333333333334
6350.0,0.1967710947909888,91.13727477379143,False,entropy_standard,32271,225,3952.3638014669996,entropy,35.30389112228295,0.8020360318066678,12192000.0,377.8005019986985,0.16,0.4488888888888889,standard,0.16000000000000003,deterministic,3,0.12247416570502927,0.7399873956034385,-0.040000000000000036,0.3333333333333333
16319.0,0.5120328825578112,239.88312357850373,False,js_mixed_b005,31871,225,4032.4428711640066,js,35.3894237652421,0.48371843037272766,31332480.0,983.1031345109975,-0.14222222222222222,0.45333333333333337,mixed_b005,-0.14222222222222222,deterministic,0,0.1265238891520193,0.38730662343031386,-0.24,0.0
13779.0,0.4771782795401025,202.51253182720393,False,js_reward_only,28876,225,3644.6397312381305,js,32.02470170741435,0.518607357416385,26455680.0,916.1822967169968,-0.05777777777777782,0.5955555555555555,reward_only,-0.05777777777777778,deterministic,1,0.12621691824484452,0.4084617736462186,-0.10666666666666669,0.52
17154.0,0.4955511902010631,245.6589912204072,False,js_standard,34616,225,4363.321320117859,js,38.04522207926493,0.5014446600536792,32935680.0,951.4582851860412,0.0488888888888889,0.3377777777777778,standard,0.0488888888888889,deterministic,3,0.12604926392760166,0.40337080191098684,-0.053333333333333344,0.0
0.0,0.0,0.0,False,no_ir,34799,225,4165.880653137865,none,0.0,nan,0.0,0.0,0.0,0.37777777777777777,no_ir,0.0,deterministic,0,0.11971265418942685,nan,0.0,0.08
1535.0,0.04713939133372232,26.375718264840543,False,two_stage_mixed_b005,32563,225,3943.0398959530285,two_stage,185.31500550638884,0.3066734194335383,42990720.0,1320.2321653410313,-0.15111111111111114,0.4444444444444445,mixed_b005,-0.1511111111111111,deterministic,0,0.12108957700313326,0.8761411854621269,-0.33333333333333337,0.2
1472.0,0.041105836358559064,27.9496107455343,False,two_stage_reward_only,35810,225,4334.876589859952,two_stage,213.7667865413241,0.26460356334519486,50119680.0,1399.6001117006422,-0.31555555555555553,0.3377777777777778,reward_only,-0.31555555555555553,deterministic,1,0.12105212482155689,0.8781802099004264,-0.5333333333333333,0.09333333333333334
1291.0,0.03983215574959119,22.659986473154277,False,two_stage_standard,32411,225,3919.921770686051,two_stage,186.82288766291458,0.29658522113841357,43509120.0,1342.418314769677,0.14666666666666664,0.43555555555555553,standard,0.14666666666666667,deterministic,3,0.12094417854080562,0.8840447153051516,0.0,0.14666666666666667
