actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,agent_seed,canonical_stage,checkpoint_kind,complete,compute_actor_updates_mean,compute_actor_updates_sum,compute_adapt_seconds_mean,compute_adapt_seconds_sum,compute_cheap_seconds_mean,compute_cheap_seconds_sum,compute_consequence_seconds_mean,compute_consequence_seconds_sum,compute_imagined_transitions_mean,compute_imagined_transitions_sum,compute_posterior_samples_mean,compute_posterior_samples_sum,condition,deaths,direction_threshold,entropy_threshold,environment_seed,environment_steps,episode_count_exact,episodes,evaluation_seconds,family,gate_actor_entropy_mean,gate_actor_entropy_sum,gate_cheap_pass_mean,gate_cheap_pass_sum,gate_consequence_evaluated_mean,gate_consequence_evaluated_sum,gate_consequence_pass_mean,gate_consequence_pass_sum,gate_enabled,gate_evaluated_mean,gate_evaluated_sum,gate_final_pass_mean,gate_final_pass_sum,gate_js_disagreement_mean,gate_js_disagreement_sum,gate_kind,gate_posterior_entropy_mean,gate_posterior_entropy_sum,gate_success_action_concentration_mean,gate_success_action_concentration_sum,gate_success_action_divergence_mean,gate_success_action_divergence_sum,gate_success_rate_mean,gate_success_rate_sum,goal,horizon,integrity_equal,js_threshold,last_step,logdir,mean_action_length,median_action_length,min_success_rate,mix_beta,objective,objective_label,paired_rng_verified,phase,policy_mode,replicate,requested_episodes,reset_count,returncode,seed,source_checkpoint,steps_per_second,success_rate,successes,trace_rows,warmup_episodes,warmup_seconds
0.0,nan,nan,nan,nan,nan,71000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,61000,3391,True,20,406.57856966299005,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,3592,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/no_ir/kill_goblin/sampled/attempt_01,168.55,200.0,0.03125,0.0,standard,no_ir,True,qualification_consequence,sampled,0,20,21,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.3403313726318,0.25,5,3391,1,37.54289080799208
0.0,nan,nan,nan,nan,nan,71000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,61000,1672,True,10,200.19376983400434,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,1873,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/no_ir/kill_goblin/deterministic/attempt_01,166.2,200.0,0.03125,0.0,standard,no_ir,True,qualification_consequence,deterministic,0,10,11,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.351908260613607,0.3,3,1672,1,33.41210950497771
0.0,nan,nan,nan,nan,nan,71000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,61000,2185,True,20,261.0613220289815,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,2386,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/no_ir/bury_bones/sampled/attempt_01,108.25,111.0,0.03125,0.0,standard,no_ir,True,qualification_consequence,sampled,0,20,21,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.369681050482974,0.65,13,2185,1,33.36157748301048
0.0,nan,nan,nan,nan,nan,71000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,61000,1611,True,10,192.81834849499865,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,1812,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/no_ir/bury_bones/deterministic/attempt_01,160.1,200.0,0.03125,0.0,standard,no_ir,True,qualification_consequence,deterministic,0,10,11,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.355013994126116,0.3,3,1611,1,33.39118108100956
0.0,nan,nan,nan,nan,nan,71000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,61000,2458,True,20,294.2365270850132,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,1.0,2659,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/no_ir/chop_logs/sampled/attempt_01,121.9,110.5,0.03125,0.0,standard,no_ir,True,qualification_consequence,sampled,0,20,21,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.35382345064797,0.6,12,2458,1,33.447971718007466
0.0,nan,nan,nan,nan,nan,71000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,61000,1091,True,10,130.29576294199796,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,1.0,1133,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/no_ir/chop_logs/deterministic/attempt_01,108.1,92.0,0.03125,0.0,standard,no_ir,True,qualification_consequence,deterministic,0,10,11,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.373257697456102,0.8,8,1091,1,18.387277709000045
0.0,0.02948241116826323,-0.006813668291680728,158.25,1.1996096873719473e-05,158.25,71000,stage5a,stage4a_counterfactual_bounded,True,1.0,3165.0,0.014408060298323349,45.6015108441934,0.0,0.0,0.0,0.0,1920.0,6076800.0,128.0,405120.0,always_standard,0,1.0,1.0,61000,3185,True,20,415.16544965602225,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,3165.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,3386,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/always_standard/kill_goblin/sampled/attempt_01,158.25,200.0,0.03125,0.0,standard,standard,True,qualification_consequence,sampled,0,20,21,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.671640312648544,0.35,7,3185,1,37.913654047995806
0.0,0.025909718369336858,-0.008588678303112569,146.1,1.2285058654501859e-05,146.1,71000,stage5a,stage4a_counterfactual_bounded,True,1.0,1461.0,0.014384072741862031,21.01513027586043,0.0,0.0,0.0,0.0,1920.0,2805120.0,128.0,187008.0,always_standard,0,1.0,1.0,61000,1471,True,10,192.5894081760198,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,1461.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,1672,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/always_standard/kill_goblin/deterministic/attempt_01,146.1,200.0,0.03125,0.0,standard,standard,True,qualification_consequence,deterministic,0,10,11,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.638010905851888,0.4,4,1471,1,42.73912941900198
0.0,0.029039676030923146,0.006890137391685131,200.0,1.1934840705748684e-05,200.0,71000,stage5a,stage4a_counterfactual_bounded,True,1.0,4000.0,0.014360114907147363,57.44045962858945,0.0,0.0,0.0,0.0,1920.0,7680000.0,128.0,512000.0,always_standard,0,1.0,1.0,61000,4020,True,20,520.8961419920088,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,4000.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,4221,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/always_standard/bury_bones/sampled/attempt_01,200.0,200.0,0.03125,0.0,standard,standard,True,qualification_consequence,sampled,0,20,21,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.717469330117773,0.0,0,4020,1,42.3737115469994
0.0,0.06760411593021855,0.006270736619334684,200.0,1.324993090179305e-05,200.0,71000,stage5a,stage4a_counterfactual_bounded,True,1.0,2000.0,0.014364519484806805,28.72903896961361,0.0,0.0,0.0,0.0,1920.0,3840000.0,128.0,256000.0,always_standard,0,1.0,1.0,61000,2010,True,10,261.6472061999957,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,2000.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,2211,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/qualification_consequence/replicate_00/always_standard/bury_bones/deterministic/attempt_01,200.0,200.0,0.03125,0.0,standard,standard,True,qualification_consequence,deterministic,0,10,11,0,61000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.682099989493536,0.0,0,2010,1,42.903975419001654
