actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,agent_seed,canonical_stage,checkpoint_kind,complete,compute_actor_updates_mean,compute_actor_updates_sum,compute_adapt_seconds_mean,compute_adapt_seconds_sum,compute_cheap_seconds_mean,compute_cheap_seconds_sum,compute_consequence_seconds_mean,compute_consequence_seconds_sum,compute_imagined_transitions_mean,compute_imagined_transitions_sum,compute_posterior_samples_mean,compute_posterior_samples_sum,condition,deaths,environment_seed,environment_steps,episode_count_exact,episodes,evaluation_seconds,family,gate_actor_entropy_mean,gate_actor_entropy_sum,gate_cheap_pass_mean,gate_cheap_pass_sum,gate_consequence_evaluated_mean,gate_consequence_evaluated_sum,gate_consequence_pass_mean,gate_consequence_pass_sum,gate_enabled,gate_evaluated_mean,gate_evaluated_sum,gate_final_pass_mean,gate_final_pass_sum,gate_js_disagreement_mean,gate_js_disagreement_sum,gate_kind,gate_posterior_entropy_mean,gate_posterior_entropy_sum,gate_success_action_concentration_mean,gate_success_action_concentration_sum,gate_success_action_divergence_mean,gate_success_action_divergence_sum,gate_success_rate_mean,gate_success_rate_sum,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,objective_label,paired_rng_verified,persistence,persistent_frozen_component_violations,phase,policy_mode,replicate,requested_episodes,reset_count,returncode,seed,source_checkpoint,steps_per_second,success_rate,successes,task_role,trace_rows,warmup_episodes,warmup_seconds
0.0,nan,nan,nan,nan,nan,91000,stage5b,source,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,81000,3034,True,20,363.0081036729971,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,3235,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/no_ir/kill_goblin/sampled/attempt_01,150.7,178.5,standard,no_ir,True,episode,{},calibration,sampled,0,20,21,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.357940137703016,0.55,11,candidate,3034,1,33.39108474802924
0.0,nan,nan,nan,nan,nan,91000,stage5b,source,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,81000,1252,True,10,149.67076978000114,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1453,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/no_ir/kill_goblin/deterministic/attempt_01,124.2,172.5,standard,no_ir,True,episode,{},calibration,deterministic,0,10,11,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.365026797418738,0.5,5,candidate,1252,1,33.330242346040905
0.0,0.03821777014673752,-0.002354988356689982,153.0,1.3526635432591103e-05,153.0,91000,stage5b,source,True,1.0,3060.0,0.014423633905529391,44.13631975091994,0.0,0.0,0.0,0.0,1920.0,5875200.0,128.0,391680.0,always_standard,0,81000,3080,True,20,402.0231340499595,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,3060.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,3281,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/always_standard/kill_goblin/sampled/attempt_01,153.0,200.0,standard,standard,True,episode,{},calibration,sampled,0,20,21,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.66125065732473,0.4,8,candidate,3080,1,42.160521393001545
0.0,0.03192828642833122,-0.006190356563269161,168.5,1.2304787796527299e-05,168.5,91000,stage5b,source,True,1.0,1685.0,0.014433200904430728,24.319943523965776,0.0,0.0,0.0,0.0,1920.0,3235200.0,128.0,215680.0,always_standard,0,81000,1695,True,10,220.9865969599923,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,1685.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1896,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/always_standard/kill_goblin/deterministic/attempt_01,168.5,200.0,standard,standard,True,episode,{},calibration,deterministic,0,10,11,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.670148431250176,0.3,3,candidate,1695,1,38.639858231006656
0.0,0.026186931985132313,0.0046056461101761925,107.4,1.549139449882958e-05,107.4,91000,stage5b,source,True,1.0,2148.0,0.01428342983300071,30.680807281285524,0.0,0.0,0.0,0.0,1920.0,4124160.0,128.0,274944.0,always_reward_only,0,81000,2168,True,20,281.58161086798646,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,2148.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,2369,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/always_reward_only/kill_goblin/sampled/attempt_01,107.4,86.0,reward_only,reward_only,True,episode,{},calibration,sampled,0,20,21,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.699366422818075,0.7,14,candidate,2168,1,42.58374051499413
0.0,0.036865183046816546,0.010242226572687542,134.0,1.4769769665988664e-05,134.0,91000,stage5b,source,True,1.0,1340.0,0.014265123844396935,19.115265951491892,0.0,0.0,0.0,0.0,1920.0,2572800.0,128.0,171520.0,always_reward_only,0,81000,1350,True,10,175.310802322987,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,1340.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1551,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/always_reward_only/kill_goblin/deterministic/attempt_01,134.0,151.0,reward_only,reward_only,True,episode,{},calibration,deterministic,0,10,11,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.700609329896302,0.6,6,candidate,1350,1,38.503097962995525
0.0,nan,nan,nan,nan,nan,91000,stage5b,source,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,81000,4020,True,20,481.52701201400487,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,4221,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/no_ir/bury_bones/sampled/attempt_01,200.0,200.0,standard,no_ir,True,episode,{},calibration,sampled,0,20,21,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.348441312121201,0.0,0,candidate,4020,1,37.47054060199298
0.0,nan,nan,nan,nan,nan,91000,stage5b,source,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,81000,2010,True,10,241.07771742902696,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,2211,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/no_ir/bury_bones/deterministic/attempt_01,200.0,200.0,standard,no_ir,True,episode,{},calibration,deterministic,0,10,11,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.337560274900737,0.0,0,candidate,2010,1,37.4801441860036
0.0,0.054344337051913494,0.0009197482720404258,158.05,1.5232930000022666e-05,158.05,91000,stage5b,source,True,1.0,3161.0,0.014424576227250015,45.5960854543373,0.0,0.0,0.0,0.0,1920.0,6069120.0,128.0,404608.0,always_standard,0,81000,3181,True,20,415.39294279098976,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,3161.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,3382,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/always_standard/bury_bones/sampled/attempt_01,158.05,200.0,standard,standard,True,episode,{},calibration,sampled,0,20,21,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.657809443336067,0.35,7,candidate,3181,1,38.76425131002907
0.0,0.06240965240169316,0.01130478507278076,200.0,1.269481810288653e-05,200.0,91000,stage5b,source,True,1.0,2000.0,0.014406484283972532,28.812968567945063,0.0,0.0,0.0,0.0,1920.0,3840000.0,128.0,256000.0,always_standard,0,81000,2010,True,10,262.37689789099386,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,2000.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,2211,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/calibration/replicate_00/candidate/always_standard/bury_bones/deterministic/attempt_01,200.0,200.0,standard,standard,True,episode,{},calibration,deterministic,0,10,11,0,81000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.660735438815452,0.0,0,candidate,2010,1,42.88802906300407
