actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,agent_seed,canonical_stage,checkpoint_kind,complete,compute_actor_updates_mean,compute_actor_updates_sum,compute_adapt_seconds_mean,compute_adapt_seconds_sum,compute_cheap_seconds_mean,compute_cheap_seconds_sum,compute_consequence_seconds_mean,compute_consequence_seconds_sum,compute_imagined_transitions_mean,compute_imagined_transitions_sum,compute_posterior_samples_mean,compute_posterior_samples_sum,condition,deaths,environment_seed,environment_steps,episode_count_exact,episodes,evaluation_seconds,family,gate_actor_entropy_mean,gate_actor_entropy_sum,gate_cheap_pass_mean,gate_cheap_pass_sum,gate_consequence_evaluated_mean,gate_consequence_evaluated_sum,gate_consequence_pass_mean,gate_consequence_pass_sum,gate_enabled,gate_evaluated_mean,gate_evaluated_sum,gate_final_pass_mean,gate_final_pass_sum,gate_js_disagreement_mean,gate_js_disagreement_sum,gate_kind,gate_posterior_entropy_mean,gate_posterior_entropy_sum,gate_success_action_concentration_mean,gate_success_action_concentration_sum,gate_success_action_divergence_mean,gate_success_action_divergence_sum,gate_success_rate_mean,gate_success_rate_sum,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,objective_label,paired_delta_vs_always,paired_delta_vs_always_ci_high,paired_delta_vs_always_ci_low,paired_harmed_vs_always,paired_improved_vs_always,paired_rng_verified,persistence,persistent_frozen_component_violations,phase,policy_mode,replicate,requested_episodes,reset_count,returncode,seed,source_checkpoint,steps_per_second,success_rate,successes,task_role,trace_rows,warmup_episodes,warmup_seconds
0.0,nan,nan,nan,nan,nan,101000,stage5b,source,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,91000,5239,True,50,626.5670799780055,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,5440,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/no_ir/chop_logs/sampled/attempt_01,103.78,96.0,standard,no_ir,0.0,0.0,0.0,0,0,True,episode,{},confirmation,sampled,0,50,51,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.361435139847924,0.78,39,strong,5239,1,33.5483553300146
0.0,nan,nan,nan,nan,nan,101000,stage5b,source,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,91000,2501,True,25,298.86209026997676,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,2702,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/no_ir/chop_logs/deterministic/attempt_01,99.04,62.0,standard,no_ir,0.0,0.0,0.0,0,0,True,episode,{},confirmation,deterministic,0,25,26,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.368408310805577,0.76,19,strong,2501,1,37.35129183600657
0.0,0.025188297090749153,-0.02176335048265205,150.68,1.1916961827626914e-05,150.68,101000,stage5b,source,True,1.0,7534.0,0.014392565840789477,108.43359104450792,0.0,0.0,0.0,0.0,1920.0,14465280.0,128.0,964352.0,always_standard,0,91000,7584,True,50,981.9356528309872,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,7534.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,7785,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/always_standard/chop_logs/sampled/attempt_01,150.68,200.0,standard,standard,0.0,0.0,0.0,0,0,True,episode,{},confirmation,sampled,0,50,51,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.723520353023961,0.38,19,strong,7584,1,38.2190871060011
0.0,0.022926568838217424,-0.014300127304977287,167.52,1.0621440980291034e-05,167.52,101000,stage5b,source,True,1.0,4188.0,0.014422854376376857,60.402914128266275,0.0,0.0,0.0,0.0,1920.0,8040960.0,128.0,536064.0,always_standard,0,91000,4213,True,25,549.7542670129915,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,4188.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,4414,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/always_standard/chop_logs/deterministic/attempt_01,167.52,200.0,standard,standard,0.0,0.0,0.0,0,0,True,episode,{},confirmation,deterministic,0,25,26,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.6634239200919945,0.28,7,strong,4213,1,38.07798670302145
0.0,0.03746275216973693,0.01982730095299885,96.42,1.755994160792632e-05,96.42,101000,stage5b,source,True,1.0,4821.0,0.01426369002430061,68.76524960715324,0.0,0.0,0.0,0.0,1920.0,9256320.0,128.0,617088.0,always_reward_only,0,91000,4871,True,50,630.5298721790314,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,4821.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,5072,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/always_reward_only/chop_logs/sampled/attempt_01,96.42,72.0,reward_only,reward_only,0.0,0.0,0.0,0,0,True,episode,{},confirmation,sampled,0,50,51,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.725248580477942,0.72,36,strong,4871,1,38.75410081300652
0.0,0.031222066169433266,0.015973242066059705,86.16,1.6723112951065834e-05,86.16,101000,stage5b,source,True,1.0,2154.0,0.014254888558990306,30.70502995606512,0.0,0.0,0.0,0.0,1920.0,4135680.0,128.0,275712.0,always_reward_only,0,91000,2179,True,25,282.9500006940216,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,2154.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,2380,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/always_reward_only/chop_logs/deterministic/attempt_01,86.16,72.0,reward_only,reward_only,0.0,0.0,0.0,0,0,True,episode,{},confirmation,deterministic,0,25,26,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.701007226207227,0.8,20,strong,2179,1,38.09609798598103
0.0,0.037662737742979895,-0.0325266421135526,47.14,1.515522116132122e-05,47.14,101000,stage5b,source,True,0.47329317269076304,2357.0,0.006806874386292983,33.89823444373906,0.0011128086240117785,5.541786947578657,0.0,0.0,908.722891566265,4525440.0,188.58152610441766,939136.0,js_standard,0,91000,5030,True,50,632.9917675339966,js,0.3605670365899747,1795.623842218074,0.47329317269076304,2357.0,0.0,0.0,0.0,0.0,True,1.0,4980.0,0.47329317269076304,2357.0,0.002045128884227522,10.184741843453061,js,0.36051147206467704,1795.3471308820917,0.0,0.0,0.0,0.0,0.0,0.0,chop_logs,15,True,5231,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/js_standard/chop_logs/sampled/attempt_01,99.6,74.0,standard,standard,0.38,0.54,0.22,3,22,True,episode,{},confirmation,sampled,0,50,51,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.94639086633911,0.76,38,strong,5030,1,41.327301280980464
0.0,0.03923993375341986,-0.01887356562162676,52.84,1.5819505038845582e-05,52.84,101000,stage5b,source,True,0.31724303554274735,1321.0,0.004552637558344548,18.957182792946696,0.0011055578647131516,4.603542948665563,0.0,0.0,609.106628242075,2536320.0,168.60710854947166,702080.0,js_standard,0,91000,4189,True,25,518.6174895149888,js,0.4453736439353263,1854.5358533466988,0.31724303554274735,1321.0,0.0,0.0,0.0,0.0,True,1.0,4164.0,0.31724303554274735,1321.0,0.0012087796622245138,5.0333585135028756,js,0.44583897772990866,1856.4735032673398,0.0,0.0,0.0,0.0,0.0,0.0,chop_logs,15,True,4390,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/js_standard/chop_logs/deterministic/attempt_01,166.56,200.0,standard,standard,0.04,0.32,-0.24,5,6,True,episode,{},confirmation,deterministic,0,25,26,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.077243989433432,0.32,8,strong,4189,1,36.89510008803336
0.0,0.03880827943567039,0.014369491106131196,37.94,1.917393010773926e-05,37.94,101000,stage5b,source,True,0.43569131832797425,1897.0,0.006179498564614497,26.90553675033152,0.001098011381415925,4.780741554684937,0.0,0.0,836.5273311897106,3642240.0,183.7684887459807,800128.0,js_reward_only,0,91000,4404,True,50,550.6696464879788,js,0.5247381602695899,2284.709949813794,0.43569131832797425,1897.0,0.0,0.0,0.0,0.0,True,1.0,4354.0,0.43569131832797425,1897.0,0.0019116790121997665,8.323450419117783,js,0.525482581389088,2287.951159368089,0.0,0.0,0.0,0.0,0.0,0.0,chop_logs,15,True,4507,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/js_reward_only/chop_logs/sampled/attempt_01,87.08,62.0,reward_only,reward_only,0.16,0.28,0.06,1,9,True,episode,{},confirmation,sampled,0,50,51,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.99753541544829,0.88,44,strong,4404,1,25.168697220971808
0.0,0.04511722743357225,0.02029270867733131,42.08,1.8253416647307627e-05,42.08,101000,stage5b,source,True,0.5433884297520661,1052.0,0.007703119508387167,14.913239368237555,0.0011121663025605362,2.153153961757198,0.0,0.0,1043.3057851239669,2019840.0,197.55371900826447,382464.0,js_reward_only,0,91000,1961,True,25,246.7879751669825,js,0.45204872801780416,875.1663374424688,0.5433884297520661,1052.0,0.0,0.0,0.0,0.0,True,1.0,1936.0,0.5433884297520661,1052.0,0.0022858168435959925,4.425341409201842,js,0.4524046762944166,875.8554533059905,0.0,0.0,0.0,0.0,0.0,0.0,chop_logs,15,True,2162,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5b_need_discrimination_run1/evaluations/confirmation/replicate_00/strong/js_reward_only/chop_logs/deterministic/attempt_01,77.44,62.0,reward_only,reward_only,0.12,0.28,-0.04,1,4,True,episode,{},confirmation,deterministic,0,25,26,0,91000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.946092181651645,0.92,23,strong,1961,1,41.919688637019135
