replay,policy_mode,checkpoint_steps,goal,frozen_success,actor_ir_success,ir_delta
fifo,sampled,250000,Kill goblin,0.91,,
fifo,sampled,500000,Kill goblin,0.96,,
fifo,sampled,750000,Kill goblin,0.75,,
fifo,sampled,1000000,Kill goblin,0.06,,
fifo,sampled,1250000,Kill goblin,0.98,,
fifo,sampled,1500000,Kill goblin,0.73,,
fifo,sampled,750000,Bury bones,0.21,,
fifo,sampled,1000000,Bury bones,1.0,,
fifo,sampled,1250000,Bury bones,0.08,,
fifo,sampled,1500000,Bury bones,0.12,,
fifo,sampled,1250000,Chop logs,1.0,,
fifo,sampled,1500000,Chop logs,1.0,,
fifo,deterministic,250000,Kill goblin,0.8,,
fifo,deterministic,500000,Kill goblin,0.94,,
fifo,deterministic,750000,Kill goblin,0.7,,
fifo,deterministic,1000000,Kill goblin,0.04,,
fifo,deterministic,1250000,Kill goblin,0.92,,
fifo,deterministic,1500000,Kill goblin,0.76,,
fifo,deterministic,750000,Bury bones,0.3,,
fifo,deterministic,1000000,Bury bones,1.0,,
fifo,deterministic,1250000,Bury bones,0.28,,
fifo,deterministic,1500000,Bury bones,0.04,,
fifo,deterministic,1250000,Chop logs,1.0,,
fifo,deterministic,1500000,Chop logs,1.0,,
reservoir,sampled,250000,Kill goblin,0.49,0.36,-0.13
reservoir,sampled,500000,Kill goblin,0.78,0.73,-0.05
reservoir,sampled,750000,Kill goblin,0.7,0.6799999999999999,-0.02
reservoir,sampled,1000000,Kill goblin,0.02,0.03,0.01
reservoir,sampled,1250000,Kill goblin,0.56,0.5900000000000001,0.03
reservoir,sampled,1500000,Kill goblin,0.16,0.28,0.12
reservoir,sampled,750000,Bury bones,0.51,0.29000000000000004,-0.22
reservoir,sampled,1000000,Bury bones,0.04,0.010000000000000002,-0.03
reservoir,sampled,1250000,Bury bones,0.49,0.31,-0.18
reservoir,sampled,1500000,Bury bones,0.08,0.06,-0.02
reservoir,sampled,1250000,Chop logs,0.88,0.52,-0.36
reservoir,sampled,1500000,Chop logs,0.05,0.12000000000000001,0.07
reservoir,deterministic,250000,Kill goblin,0.26,0.28,0.02
reservoir,deterministic,500000,Kill goblin,0.74,0.78,0.04
reservoir,deterministic,750000,Kill goblin,0.76,0.66,-0.1
reservoir,deterministic,1000000,Kill goblin,0.02,0.04,0.02
reservoir,deterministic,1250000,Kill goblin,0.46,0.56,0.1
reservoir,deterministic,1500000,Kill goblin,0.24,0.4,0.16
reservoir,deterministic,750000,Bury bones,0.48,0.36,-0.12
reservoir,deterministic,1000000,Bury bones,0.0,0.0,0.0
reservoir,deterministic,1250000,Bury bones,0.34,0.16000000000000003,-0.18
reservoir,deterministic,1500000,Bury bones,0.04,0.02,-0.02
reservoir,deterministic,1250000,Chop logs,0.6,0.42,-0.18
reservoir,deterministic,1500000,Chop logs,0.06,0.08,0.02
