step,fifo_success,reservoir_success
50000,0.253,0.319
100000,0.332,0.302
150000,0.369,0.303
200000,0.347,0.59
250000,0.766,0.552
300000,0.837,0.834
350000,0.821,0.811
400000,0.929,0.834
450000,0.902,0.958
500000,0.988,0.816
550000,0.0,0.936
600000,0.0,0.66
650000,0.0,0.091
700000,0.104,0.727
750000,0.824,0.713
800000,0.959,0.705
850000,0.8,0.946
900000,0.998,0.391
950000,0.997,0.762
1000000,1.0,0.962
1050000,0.378,0.113
1100000,0.959,0.525
1150000,0.969,0.838
1200000,0.994,0.704
1250000,0.999,0.716
1300000,0.999,0.853
1350000,0.995,0.475
1400000,0.999,0.764
1450000,1.0,0.914
1500000,0.996,0.495
