observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,kill_goblin,0,kill_goblin,128,64,1.800584077835083,1.792881965637207,1.808286190032959,0.484130859375,0.505596364628458
0,kill_goblin,1,bury_bones,128,64,1.8648648262023926,1.8696385622024536,1.8600910902023315,0.53076171875,0.5321313400060779
0,kill_goblin,2,chop_logs,128,64,1.4736145734786987,1.4883573055267334,1.458871841430664,0.58056640625,0.568549503313525
0,kill_goblin,3,light_fire,128,64,1.6273325681686401,1.6259512901306152,1.628713846206665,0.5068359375,0.5272597655870774
0,kill_goblin,4,catch_fish,128,64,1.6228480339050293,1.621429681777954,1.624266266822815,0.506591796875,0.527168500023268
1,bury_bones,0,kill_goblin,128,64,1.4916822910308838,1.3273049592971802,1.6560595035552979,0.19775390625,0.3561757608121664
1,bury_bones,1,bury_bones,128,64,1.5900380611419678,1.411863088607788,1.7682130336761475,0.20751953125,0.3700777931965491
1,bury_bones,2,chop_logs,128,64,1.3561393022537231,1.2955396175384521,1.4167389869689941,0.2587890625,0.38343809431482756
1,bury_bones,3,light_fire,128,64,1.404689073562622,1.2615153789520264,1.5478628873825073,0.22021484375,0.3736152120128469
1,bury_bones,4,catch_fish,128,64,1.400797963142395,1.260958194732666,1.540637731552124,0.2177734375,0.3701138882470326
2,chop_logs,0,kill_goblin,128,64,1.5296515226364136,1.515629529953003,1.5436735153198242,0.421875,0.45125787047966853
2,chop_logs,1,bury_bones,128,64,1.5606417655944824,1.561418056488037,1.5598657131195068,0.46435546875,0.5063009458586789
2,chop_logs,2,chop_logs,128,64,1.3242428302764893,1.334763526916504,1.3137221336364746,0.584716796875,0.5857619708055833
2,chop_logs,3,light_fire,128,64,1.4114961624145508,1.4130547046661377,1.4099376201629639,0.4921875,0.5023784898504691
2,chop_logs,4,catch_fish,128,64,1.4098141193389893,1.410190224647522,1.409437894821167,0.48486328125,0.4967506272006846
