checkpoint_label,checkpoint_step,condition,family,goals,horizon,mean_delta_vs_frozen,mean_success_rate,policy_mode,prespecified_status
step_0001250000,1250000,frozen,frozen,3,0,0.0,0.7033333333333333,sampled,all
step_0001250000,1250000,frozen,frozen,1,0,0.0,0.71,sampled,weak
step_0001250000,1250000,frozen,frozen,2,0,0.0,0.7,sampled,competent
step_0001250000,1250000,reward_only_ir_h15,reward_only_ir,3,15,0.13333333333333333,0.8366666666666666,sampled,all
step_0001250000,1250000,reward_only_ir_h15,reward_only_ir,1,15,0.28,0.99,sampled,weak
step_0001250000,1250000,reward_only_ir_h15,reward_only_ir,2,15,0.06,0.76,sampled,competent
step_0001250000,1250000,reward_only_ir_h20,reward_only_ir,3,20,0.16666666666666666,0.87,sampled,all
step_0001250000,1250000,reward_only_ir_h20,reward_only_ir,1,20,0.29000000000000004,1.0,sampled,weak
step_0001250000,1250000,reward_only_ir_h20,reward_only_ir,2,20,0.10499999999999998,0.8049999999999999,sampled,competent
step_0001250000,1250000,reward_only_ir_h6,reward_only_ir,3,6,0.10999999999999999,0.8133333333333334,sampled,all
step_0001250000,1250000,reward_only_ir_h6,reward_only_ir,1,6,0.24,0.95,sampled,weak
step_0001250000,1250000,reward_only_ir_h6,reward_only_ir,2,6,0.044999999999999984,0.745,sampled,competent
step_0001250000,1250000,standard_ir_h6,standard_ir,3,6,-0.3,0.4033333333333333,sampled,all
step_0001250000,1250000,standard_ir_h6,standard_ir,1,6,-0.6399999999999999,0.07,sampled,weak
step_0001250000,1250000,standard_ir_h6,standard_ir,2,6,-0.13,0.5700000000000001,sampled,competent
step_0001250000,1250000,frozen,frozen,3,0,0.0,0.5933333333333334,deterministic,all
step_0001250000,1250000,frozen,frozen,1,0,0.0,0.36,deterministic,weak
step_0001250000,1250000,frozen,frozen,2,0,0.0,0.71,deterministic,competent
step_0001250000,1250000,reward_only_ir_h15,reward_only_ir,3,15,0.18666666666666665,0.7799999999999999,deterministic,all
step_0001250000,1250000,reward_only_ir_h15,reward_only_ir,1,15,0.6,0.96,deterministic,weak
step_0001250000,1250000,reward_only_ir_h15,reward_only_ir,2,15,-0.020000000000000018,0.69,deterministic,competent
step_0001250000,1250000,reward_only_ir_h20,reward_only_ir,3,20,0.25333333333333335,0.8466666666666667,deterministic,all
step_0001250000,1250000,reward_only_ir_h20,reward_only_ir,1,20,0.62,0.98,deterministic,weak
step_0001250000,1250000,reward_only_ir_h20,reward_only_ir,2,20,0.07,0.78,deterministic,competent
step_0001250000,1250000,reward_only_ir_h6,reward_only_ir,3,6,0.20666666666666667,0.8000000000000002,deterministic,all
step_0001250000,1250000,reward_only_ir_h6,reward_only_ir,1,6,0.54,0.9,deterministic,weak
step_0001250000,1250000,reward_only_ir_h6,reward_only_ir,2,6,0.03999999999999998,0.75,deterministic,competent
step_0001250000,1250000,standard_ir_h6,standard_ir,3,6,-0.24,0.35333333333333333,deterministic,all
step_0001250000,1250000,standard_ir_h6,standard_ir,1,6,-0.24,0.12,deterministic,weak
step_0001250000,1250000,standard_ir_h6,standard_ir,2,6,-0.24000000000000002,0.47,deterministic,competent
step_0001500000,1500000,frozen,frozen,3,0,0.0,0.13333333333333333,sampled,all
step_0001500000,1500000,frozen,frozen,3,0,0.0,0.13333333333333333,sampled,weak
step_0001500000,1500000,reward_only_ir_h15,reward_only_ir,3,15,0.26333333333333336,0.3966666666666667,sampled,all
step_0001500000,1500000,reward_only_ir_h15,reward_only_ir,3,15,0.26333333333333336,0.3966666666666667,sampled,weak
step_0001500000,1500000,reward_only_ir_h20,reward_only_ir,3,20,0.3,0.43333333333333335,sampled,all
step_0001500000,1500000,reward_only_ir_h20,reward_only_ir,3,20,0.3,0.43333333333333335,sampled,weak
step_0001500000,1500000,reward_only_ir_h6,reward_only_ir,3,6,0.08333333333333333,0.21666666666666667,sampled,all
step_0001500000,1500000,reward_only_ir_h6,reward_only_ir,3,6,0.08333333333333333,0.21666666666666667,sampled,weak
step_0001500000,1500000,standard_ir_h6,standard_ir,3,6,0.056666666666666664,0.19000000000000003,sampled,all
step_0001500000,1500000,standard_ir_h6,standard_ir,3,6,0.056666666666666664,0.19000000000000003,sampled,weak
step_0001500000,1500000,frozen,frozen,3,0,0.0,0.11333333333333333,deterministic,all
step_0001500000,1500000,frozen,frozen,3,0,0.0,0.11333333333333333,deterministic,weak
step_0001500000,1500000,reward_only_ir_h15,reward_only_ir,3,15,0.3133333333333333,0.4266666666666667,deterministic,all
step_0001500000,1500000,reward_only_ir_h15,reward_only_ir,3,15,0.3133333333333333,0.4266666666666667,deterministic,weak
step_0001500000,1500000,reward_only_ir_h20,reward_only_ir,3,20,0.24,0.35333333333333333,deterministic,all
step_0001500000,1500000,reward_only_ir_h20,reward_only_ir,3,20,0.24,0.35333333333333333,deterministic,weak
step_0001500000,1500000,reward_only_ir_h6,reward_only_ir,3,6,0.05333333333333332,0.16666666666666666,deterministic,all
step_0001500000,1500000,reward_only_ir_h6,reward_only_ir,3,6,0.05333333333333332,0.16666666666666666,deterministic,weak
step_0001500000,1500000,standard_ir_h6,standard_ir,3,6,0.046666666666666655,0.16,deterministic,all
step_0001500000,1500000,standard_ir_h6,standard_ir,3,6,0.046666666666666655,0.16,deterministic,weak
