observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,kill_goblin,0,kill_goblin,0.0013959881216537716,0.9994235280274505,0.9303243890702109,0.7515130445834188,0.00043272642051635533,0.005930968361344799,0.999916020132394,0.9999996718125239,0.9926660577975305,0.05644985682937431
0,kill_goblin,1,bury_bones,0.0012215044867302488,,,,0.0012215044867302488,0.004084571144155959,,1.0,0.9951309961697404,
0,kill_goblin,2,chop_logs,0.0010970208750514878,,,,0.0010970208750514878,0.003819639464840011,,1.0,0.9956519977974224,
0,kill_goblin,3,light_fire,0.0008645778122296514,,,,0.0008645778122296514,0.003677883039620754,,1.0,0.9974232720625962,
0,kill_goblin,4,catch_fish,0.0008526009800819726,,,,0.0008526009800819726,0.00366572581223988,,1.0,0.9973970844140344,
1,bury_bones,0,kill_goblin,0.0015134637948148622,,,,0.0015134637948148622,0.00505579403965236,,1.0,0.9927849785768862,
1,bury_bones,1,bury_bones,0.0005657699583830468,0.9999343019526796,0.9881985382974043,0.9081365144379561,0.00014424849453510108,0.0029745617078655545,0.9995679518244014,0.9999978901527597,0.9952800680661283,0.07207788235075441
1,bury_bones,2,chop_logs,0.0011923076891019889,,,,0.0011923076891019889,0.003919272881969027,,1.0,0.9940787738289659,
1,bury_bones,3,light_fire,0.0010718619368238929,,,,0.0010718619368238929,0.0030669850743178565,,1.0,0.9967562102970826,
1,bury_bones,4,catch_fish,0.0010528846603572826,,,,0.0010528846603572826,0.0030390219070838193,,1.0,0.9967310051317129,
2,chop_logs,0,kill_goblin,0.0006383366282486803,,,,0.0006383366282486803,0.0034579133812042934,,1.0,0.9956459372242435,
2,chop_logs,1,bury_bones,0.0005589223141149373,,,,0.0005589223141149373,0.003123230841000036,,1.0,0.9960548604486813,
2,chop_logs,2,chop_logs,0.0013527240862238282,0.9995029316150006,0.9306227776148218,0.6942467289354681,0.00022088788615652347,0.005788585649911987,0.9990425991234181,0.9999963929265971,0.9930040188346516,0.1967687245498837
2,chop_logs,3,light_fire,0.0003773798418226874,,,,0.0003773798418226874,0.002432051491037554,,1.0,0.9986086252467042,
2,chop_logs,4,catch_fish,0.0003743934846676692,,,,0.0003743934846676692,0.002420683972808996,,1.0,0.9985883762757254,
