observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,kill_goblin,0,kill_goblin,0.0013959424416392357,0.9994235280274505,0.9303243890702109,0.7515258973006098,0.0004327305188559609,0.005931074548119249,0.999916020132394,0.9999996718125239,0.9926659273286608,0.05644985682937431
0,kill_goblin,1,bury_bones,0.0012215077544771207,,,,0.0012215077544771207,0.004084520260251256,,1.0,0.9951310055864089,
0,kill_goblin,2,chop_logs,0.001097099199592723,,,,0.001097099199592723,0.0038197126400885744,,1.0,0.9956519223360671,
0,kill_goblin,3,light_fire,0.0008645545411444206,,,,0.0008645545411444206,0.0036778982815344544,,1.0,0.9974232397578162,
0,kill_goblin,4,catch_fish,0.0008526010217619429,,,,0.0008526010217619429,0.0036657809744816087,,1.0,0.9973970198982265,
1,bury_bones,0,kill_goblin,0.0015135859205899235,,,,0.0015135859205899235,0.005055930320370126,,1.0,0.9927848295515317,
1,bury_bones,1,bury_bones,0.0005658189578126618,0.9999343019526796,0.9881985382974043,0.908132013355953,0.00014427336501196506,0.0029745204767893858,0.9995673950612884,0.9999978901527597,0.995279975545549,0.07205624977189018
1,bury_bones,2,chop_logs,0.001192309346536466,,,,0.001192309346536466,0.0039192039788981834,,1.0,0.9940788312897717,
1,bury_bones,3,light_fire,0.0010717662054812857,,,,0.0010717662054812857,0.0030669395674232003,,1.0,0.9967562526241608,
1,bury_bones,4,catch_fish,0.0010528991606312597,,,,0.0010528991606312597,0.0030388448437399396,,1.0,0.9967311469802808,
2,chop_logs,0,kill_goblin,0.0006383368256459582,,,,0.0006383368256459582,0.0034579463688761184,,1.0,0.9956459184258556,
2,chop_logs,1,bury_bones,0.0005589225015780329,,,,0.0005589225015780329,0.00312350154571567,,1.0,0.9960545812772793,
2,chop_logs,2,chop_logs,0.0013527954162334457,0.9995038386740973,0.9306340762838385,0.6942303497653484,0.00022089862741848888,0.005788610143318646,0.9990425991234181,0.9999963929265971,0.9930039563615376,0.1967687245498837
2,chop_logs,3,light_fire,0.0003773894747384597,,,,0.0003773894747384597,0.0024320957687736728,,1.0,0.9986085652352724,
2,chop_logs,4,catch_fish,0.0003743934843665256,,,,0.0003743934843665256,0.002420677584873382,,1.0,0.9985883549469841,
