event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,kill_goblin,0,kill_goblin,64,0.9400851130485535,0.035686105489730835,1.5029690265655518,1.4951529502868652
0,kill_goblin,1,bury_bones,64,0.8409243822097778,0.07672432065010071,1.4849157333374023,1.4775235652923584
0,kill_goblin,2,chop_logs,64,0.7973505258560181,0.1674809455871582,1.435828685760498,1.4294536113739014
0,kill_goblin,3,light_fire,64,0.9174926280975342,0.03851313143968582,1.4493683576583862,1.4420900344848633
0,kill_goblin,4,catch_fish,64,0.9138548374176025,0.03828207403421402,1.4480018615722656,1.440751314163208
1,bury_bones,0,kill_goblin,64,0.9998537302017212,0.00883394293487072,1.494998812675476,1.5216079950332642
1,bury_bones,1,bury_bones,64,0.9993830919265747,0.0009186285897158086,1.5256433486938477,1.5526683330535889
1,bury_bones,2,chop_logs,64,0.9852268099784851,0.04441222548484802,1.457289457321167,1.4827746152877808
1,bury_bones,3,light_fire,64,1.0000901222229004,0.0019244824070483446,1.4728848934173584,1.4987446069717407
1,bury_bones,4,catch_fish,64,0.9996086359024048,0.0019509545527398586,1.472313642501831,1.497849464416504
2,chop_logs,0,kill_goblin,64,0.9942712783813477,0.006207413040101528,0.9251266717910767,0.9347115159034729
2,chop_logs,1,bury_bones,64,0.9820472002029419,0.011265244334936142,0.9297353625297546,0.9394849538803101
2,chop_logs,2,chop_logs,64,0.9748916625976562,0.023744210600852966,0.9132708311080933,0.9219628572463989
2,chop_logs,3,light_fire,64,0.9919629096984863,0.006216936744749546,0.9213681817054749,0.9305969476699829
2,chop_logs,4,catch_fish,64,0.9912220239639282,0.006452928297221661,0.9210788011550903,0.9302840232849121
