observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,kill_goblin,0,kill_goblin,0.0009210536633244316,0.9999601451475768,0.9936546688988095,0.9711403069086373,0.0008085659154318659,0.002360543575871277,0.999997153224827,0.9999999889371782,0.9962963124495744,0.0400530064061968
0,kill_goblin,1,bury_bones,0.0041289216599583985,,,,0.0041289216599583985,0.006422257399487496,,1.0,0.9914904670960235,
0,kill_goblin,2,chop_logs,0.0036066892289057426,,,,0.0036066892289057426,0.004867573272880827,,1.0,0.9952863548027607,
0,kill_goblin,3,light_fire,0.004546577432346072,,,,0.004546577432346072,0.006219020604369139,,1.0,0.9920774914487057,
0,kill_goblin,4,catch_fish,0.004499617611311536,,,,0.004499617611311536,0.006218813643953995,,1.0,0.9920389302644775,
1,bury_bones,0,kill_goblin,0.005399846834562189,,,,0.005399846834562189,0.006565995869563728,,1.0,0.9912584921288244,
1,bury_bones,1,bury_bones,0.0011888574231148344,0.9999487777936146,0.9886253947812581,0.9937412729486823,0.001163583188697553,0.0024117636483940294,0.9999587995296465,0.9999998121959061,0.9954075056316433,0.004614992100131499
1,bury_bones,2,chop_logs,0.004866982256438643,,,,0.004866982256438643,0.005767527724362101,,1.0,0.9936743091294825,
1,bury_bones,3,light_fire,0.005659177960247975,,,,0.005659177960247975,0.006710583420250238,,1.0,0.99122671953586,
1,bury_bones,4,catch_fish,0.005626412495761375,,,,0.005626412495761375,0.006696209410435907,,1.0,0.9912012487370796,
2,chop_logs,0,kill_goblin,0.00567835056555688,,,,0.00567835056555688,0.010883382803368443,,1.0,0.9864258269468803,
2,chop_logs,1,bury_bones,0.005440351971978243,,,,0.005440351971978243,0.01128755350268649,,1.0,0.9860007930843739,
2,chop_logs,2,chop_logs,0.0011120750892409552,0.9999337846859399,0.9838796269751711,0.9115724917501211,0.0007855981025097734,0.00293758383063639,0.9999800446998723,0.9999999258400221,0.9957028632360954,0.0841362679458797
2,chop_logs,3,light_fire,0.0058437181944542785,,,,0.0058437181944542785,0.011081755026399038,,1.0,0.9862555643432728,
2,chop_logs,4,catch_fish,0.005650239410947221,,,,0.005650239410947221,0.010876334325457124,,1.0,0.9864676495536542,
