observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,kill_goblin,0,kill_goblin,128,64,1.5641268491744995,1.5347111225128174,1.5935428142547607,0.400390625,0.4656431715086144
0,kill_goblin,1,bury_bones,128,64,1.5449838638305664,1.5466907024383545,1.5432770252227783,0.510498046875,0.530453728338351
0,kill_goblin,2,chop_logs,128,64,1.1251749992370605,1.1355712413787842,1.1147785186767578,0.520751953125,0.5239507804623956
0,kill_goblin,3,light_fire,128,64,1.4136217832565308,1.3934143781661987,1.4338289499282837,0.4169921875,0.4673409560579465
0,kill_goblin,4,catch_fish,128,64,1.4080405235290527,1.3875415325164795,1.4285393953323364,0.416015625,0.4679625308519457
1,bury_bones,0,kill_goblin,128,64,1.2905120849609375,1.132911205291748,1.4481130838394165,0.088623046875,0.3235145382083569
1,bury_bones,1,bury_bones,128,64,1.3989434242248535,1.2228057384490967,1.5750807523727417,0.109375,0.3273508907224595
1,bury_bones,2,chop_logs,128,64,1.0861022472381592,1.0757787227630615,1.0964257717132568,0.4990234375,0.4560791408298116
1,bury_bones,3,light_fire,128,64,1.2345499992370605,1.1119303703308105,1.3571696281433105,0.168701171875,0.3418715875409143
1,bury_bones,4,catch_fish,128,64,1.2279125452041626,1.1107816696166992,1.3450433015823364,0.16845703125,0.3417897072767003
2,chop_logs,0,kill_goblin,128,64,1.1917228698730469,1.187241554260254,1.1962040662765503,0.488525390625,0.48914765840343966
2,chop_logs,1,bury_bones,128,64,1.2295137643814087,1.2078194618225098,1.2512081861495972,0.49267578125,0.4670325340401943
2,chop_logs,2,chop_logs,128,64,0.8683075308799744,0.8767231106758118,0.8598918914794922,0.5703125,0.5373189588542027
2,chop_logs,3,light_fire,128,64,1.0141499042510986,1.006117820739746,1.022181749343872,0.509765625,0.4825499708575345
2,chop_logs,4,catch_fish,128,64,1.0101572275161743,1.0024964809417725,1.0178179740905762,0.51416015625,0.4847681592086025
