condition,episodes,goal,horizon,mix_beta,paired_delta_vs_frozen,paired_delta_vs_reward_only,paired_delta_vs_reward_only_ci_high,paired_delta_vs_reward_only_ci_low,paired_harmed_vs_reward_only,paired_improved_vs_reward_only,policy_mode,replicate_success_max,replicate_success_min,replicate_success_std,replicates,success_rate,successes,update_rms_clip,value_correction_clip
frozen,150,kill_goblin,0,0.0,0.0,-0.013333333333333336,0.1,-0.12666666666666668,38,36,sampled,0.6,0.42,0.07483314773547883,3,0.5,75,0.0,0.0
frozen,150,bury_bones,0,0.0,0.0,-0.3,-0.21333333333333335,-0.38666666666666666,52,7,sampled,0.88,0.36,0.21416504538945347,3,0.6,90,0.0,0.0
frozen,150,chop_logs,0,0.0,0.0,-0.04,0.04,-0.12,22,16,sampled,0.78,0.72,0.028284271247461926,3,0.76,114,0.0,0.0
reward_only_h15,150,kill_goblin,15,0.0,0.013333333333333336,0.0,0.0,0.0,0,0,sampled,0.68,0.38,0.12472191289246473,3,0.5133333333333333,77,0.0,0.0
reward_only_h15,150,bury_bones,15,0.0,0.3,0.0,0.0,0.0,0,0,sampled,0.94,0.82,0.0565685424949238,3,0.9,135,0.0,0.0
reward_only_h15,150,chop_logs,15,0.0,0.04,0.0,0.0,0.0,0,0,sampled,0.92,0.7,0.09092121131323908,3,0.8,120,0.0,0.0
mixed_b005_h15,150,kill_goblin,15,0.05,0.2866666666666667,0.2733333333333334,0.37333333333333335,0.17333333333333334,16,57,sampled,0.86,0.66,0.0899382504215469,3,0.7866666666666666,118,0.0,0.0
mixed_b005_h15,150,bury_bones,15,0.05,0.34,0.04,0.10666666666666667,-0.02666666666666667,9,15,sampled,0.98,0.88,0.043204937989385725,3,0.94,141,0.0,0.0
mixed_b005_h15,150,chop_logs,15,0.05,0.14,0.10000000000000002,0.17333333333333334,0.02666666666666667,9,24,sampled,0.98,0.82,0.0653197264742181,3,0.9,135,0.0,0.0
mixed_b010_h15,150,kill_goblin,15,0.1,0.10000000000000002,0.08666666666666667,0.2,-0.02666666666666667,30,43,sampled,0.76,0.48,0.11775681155103797,3,0.6,90,0.0,0.0
