actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,agent_seed,canonical_stage,checkpoint_kind,complete,compute_actor_updates_mean,compute_actor_updates_sum,compute_adapt_seconds_mean,compute_adapt_seconds_sum,compute_cheap_seconds_mean,compute_cheap_seconds_sum,compute_consequence_seconds_mean,compute_consequence_seconds_sum,compute_imagined_transitions_mean,compute_imagined_transitions_sum,compute_posterior_samples_mean,compute_posterior_samples_sum,condition,deaths,direction_threshold,entropy_threshold,environment_seed,environment_steps,episode_count_exact,episodes,evaluation_seconds,family,gate_actor_entropy_mean,gate_actor_entropy_sum,gate_cheap_pass_mean,gate_cheap_pass_sum,gate_consequence_evaluated_mean,gate_consequence_evaluated_sum,gate_consequence_pass_mean,gate_consequence_pass_sum,gate_enabled,gate_evaluated_mean,gate_evaluated_sum,gate_final_pass_mean,gate_final_pass_sum,gate_js_disagreement_mean,gate_js_disagreement_sum,gate_kind,gate_posterior_entropy_mean,gate_posterior_entropy_sum,gate_success_action_concentration_mean,gate_success_action_concentration_sum,gate_success_action_divergence_mean,gate_success_action_divergence_sum,gate_success_rate_mean,gate_success_rate_sum,goal,horizon,integrity_equal,js_threshold,last_step,logdir,mean_action_length,median_action_length,min_success_rate,mix_beta,objective,objective_label,paired_delta_vs_always,paired_delta_vs_always_ci_high,paired_delta_vs_always_ci_low,paired_harmed_vs_always,paired_improved_vs_always,paired_rng_verified,phase,policy_mode,replicate,requested_episodes,reset_count,returncode,seed,source_checkpoint,steps_per_second,success_rate,successes,trace_rows,warmup_episodes,warmup_seconds
0.0,nan,nan,nan,nan,nan,81000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,71000,6980,True,50,835.5156734960037,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,7181,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/no_ir/kill_goblin/sampled/attempt_01,138.6,200.0,0.03125,0.0,standard,no_ir,0.0,0.0,0.0,0,0,True,confirmation,sampled,0,50,51,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.354122156432995,0.44,22,6980,1,33.52898122600163
0.0,nan,nan,nan,nan,nan,81000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,71000,3555,True,25,425.28898074798053,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,3756,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/no_ir/kill_goblin/deterministic/attempt_01,141.2,200.0,0.03125,0.0,standard,no_ir,0.0,0.0,0.0,0,0,True,confirmation,deterministic,0,25,26,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.359022125961538,0.4,10,3555,1,33.424123945995234
0.0,nan,nan,nan,nan,nan,81000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,71000,8158,True,50,978.3838695579907,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,8359,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/no_ir/bury_bones/sampled/attempt_01,162.16,200.0,0.03125,0.0,standard,no_ir,0.0,0.0,0.0,0,0,True,confirmation,sampled,0,50,51,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.338240494179018,0.34,17,8158,1,33.45974367301096
0.0,nan,nan,nan,nan,nan,81000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,71000,5025,True,25,601.8455198949669,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,5226,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/no_ir/bury_bones/deterministic/attempt_01,200.0,200.0,0.03125,0.0,standard,no_ir,0.0,0.0,0.0,0,0,True,confirmation,deterministic,0,25,26,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.34931861065769,0.0,0,5025,1,37.41967284999555
0.0,nan,nan,nan,nan,nan,81000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,71000,5292,True,50,632.7578881920199,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,1.0,5325,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/no_ir/chop_logs/sampled/attempt_01,104.84,87.0,0.03125,0.0,standard,no_ir,0.0,0.0,0.0,0,0,True,confirmation,sampled,0,50,51,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.36338842826731,0.74,37,5292,1,17.278945621976163
0.0,nan,nan,nan,nan,nan,81000,stage5a,stage4a_counterfactual_bounded,True,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,no_ir,0,1.0,1.0,71000,2681,True,25,320.5971903769532,no_ir,nan,0.0,nan,0.0,nan,0.0,nan,0.0,False,nan,0.0,nan,0.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,chop_logs,15,True,1.0,2882,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/no_ir/chop_logs/deterministic/attempt_01,106.24,94.0,0.03125,0.0,standard,no_ir,0.0,0.0,0.0,0,0,True,confirmation,deterministic,0,25,26,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,8.362518700952187,0.72,18,2681,1,37.41447071998846
0.0,0.03555104321156818,-0.0015308355243167488,123.58,1.3141834152665659e-05,123.58,81000,stage5a,stage4a_counterfactual_bounded,True,1.0,6179.0,0.014393758129127725,88.93903147988021,0.0,0.0,0.0,0.0,1920.0,11863680.0,128.0,790912.0,always_standard,0,1.0,1.0,71000,6229,True,50,813.2391302839969,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,6179.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,6430,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/always_standard/kill_goblin/sampled/attempt_01,123.58,152.0,0.03125,0.0,standard,standard,0.0,0.0,0.0,0,0,True,confirmation,sampled,0,50,51,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.659493706143637,0.56,28,6229,1,42.96657350700116
0.0,0.02682400712002673,-0.0024458131304511068,163.96,1.1757279479653468e-05,163.96,81000,stage5a,stage4a_counterfactual_bounded,True,1.0,4099.0,0.014403159208695724,59.03854959644377,0.0,0.0,0.0,0.0,1920.0,7870080.0,128.0,524672.0,always_standard,0,1.0,1.0,71000,4124,True,25,538.6580340279615,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,4099.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,kill_goblin,15,True,1.0,4325,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/always_standard/kill_goblin/deterministic/attempt_01,163.96,200.0,0.03125,0.0,standard,standard,0.0,0.0,0.0,0,0,True,confirmation,deterministic,0,25,26,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.656063289656466,0.32,8,4124,1,42.88727542501874
0.0,0.06005135603933558,0.006404545313333503,180.84,1.2926719960658895e-05,180.84,81000,stage5a,stage4a_counterfactual_bounded,True,1.0,9042.0,0.014384094458440057,130.060982093215,0.0,0.0,0.0,0.0,1920.0,17360640.0,128.0,1157376.0,always_standard,0,1.0,1.0,71000,9092,True,50,1184.8623993929941,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,9042.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,9293,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/always_standard/bury_bones/sampled/attempt_01,180.84,200.0,0.03125,0.0,standard,standard,0.0,0.0,0.0,0,0,True,confirmation,sampled,0,50,51,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.673464872087965,0.2,10,9092,1,38.19895769300638
0.0,0.03429614586406387,0.008542639186470002,200.0,1.1991431098977043e-05,200.0,81000,stage5a,stage4a_counterfactual_bounded,True,1.0,5000.0,0.014387445405311882,71.93722702655941,0.0,0.0,0.0,0.0,1920.0,9600000.0,128.0,640000.0,always_standard,0,1.0,1.0,71000,5025,True,25,651.8328439169563,always,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,5000.0,nan,0.0,none,nan,0.0,nan,0.0,nan,0.0,nan,0.0,bury_bones,15,True,1.0,5226,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage5a_gating/evaluations/confirmation/replicate_00/always_standard/bury_bones/deterministic/attempt_01,200.0,200.0,0.03125,0.0,standard,standard,0.0,0.0,0.0,0,0,True,confirmation,deterministic,0,25,26,0,71000,/home/localadmin/imagined_rehearsal/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,7.709031612773698,0.0,0,5025,1,42.22724242595723
