bin,episodes,goal,ir_needed_rate,mean_js,mean_predicted_success,median_success_length,policy_mode,underperformance_rate,window
0,4,bury_bones,0.0,0.0008094821169717826,0.0072265625,152.0,sampled,0.75,10
1,4,bury_bones,0.0,0.001502202636174843,0.00078125,160.0,sampled,0.75,10
2,4,bury_bones,0.0,0.0024066410096651226,0.0,35.0,sampled,0.75,10
3,4,bury_bones,0.0,0.0034925324690789237,0.0011718750000000002,nan,sampled,1.0,10
4,4,bury_bones,0.0,0.006260031841020464,0.0140625,2.0,sampled,0.75,10
0,4,chop_logs,0.0,0.0014138897946395445,0.0013671875,116.0,sampled,0.0,10
1,4,chop_logs,0.0,0.002083251767544425,0.000390625,104.5,sampled,0.0,10
2,4,chop_logs,0.0,0.002806702318775933,0.04375,37.5,sampled,0.0,10
3,4,chop_logs,0.0,0.003227272440926754,0.071630859375,127.0,sampled,0.25,10
4,4,chop_logs,0.0,0.004773900738251768,0.09765625,22.5,sampled,0.0,10
0,4,kill_goblin,0.5,0.0031638490889918103,0.0005859375,nan,sampled,1.0,10
1,4,kill_goblin,0.25,0.003981771269779225,0.0001953125,35.0,sampled,0.5,10
2,4,kill_goblin,0.5,0.005203090324630466,0.019726562500000003,16.0,sampled,0.75,10
3,4,kill_goblin,0.5,0.007760126445720061,0.001953125,42.0,sampled,0.75,10
4,4,kill_goblin,0.75,0.010587226639472647,0.01015625,119.0,sampled,0.75,10
0,2,bury_bones,1.0,0.0007368584261712386,0.004296875,nan,deterministic,1.0,10
1,2,bury_bones,1.0,0.0024261699203634635,0.0,nan,deterministic,1.0,10
2,2,bury_bones,0.5,0.003337822237517685,0.000390625,36.0,deterministic,0.5,10
3,2,bury_bones,0.5,0.003918739822540829,0.0,180.0,deterministic,0.5,10
4,2,bury_bones,0.5,0.005964878576742194,0.01015625,120.0,deterministic,0.5,10
0,2,chop_logs,0.0,0.0018697955064595818,0.000390625,27.0,deterministic,0.0,10
1,2,chop_logs,0.0,0.002462680605094647,0.001953125,59.0,deterministic,0.5,10
2,2,chop_logs,1.0,0.0028641260316362603,0.000390625,nan,deterministic,1.0,10
3,2,chop_logs,0.0,0.00338920853973832,0.000390625,97.5,deterministic,0.0,10
4,2,chop_logs,0.5,0.006766065789270215,0.09609374999999999,38.0,deterministic,0.5,10
0,2,kill_goblin,0.0,0.004717285934384563,0.002734375,129.0,deterministic,0.0,10
1,2,kill_goblin,0.0,0.006015039850899484,0.00078125,142.0,deterministic,0.5,10
2,2,kill_goblin,0.0,0.007369606513020699,0.001171875,161.0,deterministic,0.0,10
3,2,kill_goblin,0.0,0.008412351642133824,0.020572916666666666,32.5,deterministic,0.0,10
4,2,kill_goblin,0.5,0.010870214847091119,0.00634765625,8.0,deterministic,0.5,10
