action_length,always_reward_success,canonical_stage,commit_on_no_ir_success,committed_updates,condition,episode_index,first_before_actor_entropy,first_before_js,first_before_success_rate,first_predicted_improvement,first_score_before,goal,max_predicted_improvement,mean_predicted_improvement,mean_score_before,missed_repair_opportunity,necessity_class,no_ir_success,policy_mode,positive_probe_fraction,probes,rejected_updates,replicate,reset_seed,success,tentative_updates
200.0,1,stage5b2,0,0.0,no_ir,0,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,6879745109233889997,0,0.0
151.0,1,stage5b2,0,151.0,always_reward_only,0,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,6879745109233889997,1,0.0
200.0,1,stage5b2,0,52.0,virtual_reward_dormant_25,0,0.5071675777435303,0.00931485928595066,0.0,-5.509340189746581e-05,5.581403092946857e-05,bury_bones,0.08909529447555542,0.005045223924032368,0.05130221867534614,0,ir_needed,0,deterministic,0.65,80,28.0,0,6879745109233889997,0,80.0
200.0,1,stage5b2,0,19.0,virtual_reward_dormant_100,0,0.2267782986164093,0.013336027972400188,0.0,1.363699482226366e-07,4.755688962632121e-07,bury_bones,1.363699482226366e-07,-1.697193858899372e-08,1.9476252613407614e-07,0,ir_needed,0,deterministic,0.5588235294117647,34,15.0,0,6879745109233889997,0,34.0
200.0,1,stage5b2,0,0.0,no_ir,1,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,3995900375815003603,0,0.0
30.0,1,stage5b2,0,30.0,always_reward_only,1,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,3995900375815003603,1,0.0
200.0,1,stage5b2,0,31.0,virtual_reward_dormant_25,1,0.06075218319892883,0.00600681034848094,0.0,-0.0006556881126016378,0.003911785315722227,bury_bones,0.0077857356518507,-5.1600207148368954e-05,0.0008853719139356939,0,ir_needed,0,deterministic,0.5636363636363636,55,24.0,0,3995900375815003603,0,55.0
200.0,1,stage5b2,0,2.0,virtual_reward_dormant_100,1,0.08888707309961319,0.0044911992736160755,0.0,1.6273224900942296e-07,2.2942520445212722e-05,bury_bones,1.6273224900942296e-07,-2.360701399441366e-06,1.4821904723508591e-05,0,ir_needed,0,deterministic,0.2857142857142857,7,5.0,0,3995900375815003603,0,7.0
200.0,1,stage5b2,0,0.0,no_ir,2,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,4948517626249183238,0,0.0
2.0,1,stage5b2,0,2.0,always_reward_only,2,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,4948517626249183238,1,0.0
