condition,episodes,goal,policy_mode,positives,predictor,roc_auc,target
virtual_reward_dormant_100,675,all,all,307,predicted_failure,0.6024642401926072,underperform
virtual_reward_dormant_100,675,all,all,307,first_virtual_improvement,0.5024341453051976,underperform
virtual_reward_dormant_100,675,all,all,307,max_virtual_improvement,0.5574546806401359,underperform
virtual_reward_dormant_100,675,all,all,307,first_js,0.47918141906245576,underperform
virtual_reward_dormant_100,675,all,all,307,first_actor_entropy,0.4108837275173488,underperform
virtual_reward_dormant_100,675,all,all,206,predicted_failure,0.5263212370877927,ir_needed
virtual_reward_dormant_100,675,all,all,206,first_virtual_improvement,0.5278117043078643,ir_needed
virtual_reward_dormant_100,675,all,all,206,max_virtual_improvement,0.5580040159811207,ir_needed
virtual_reward_dormant_100,675,all,all,206,first_js,0.462282898958743,ir_needed
virtual_reward_dormant_100,675,all,all,206,first_actor_entropy,0.4067008922102387,ir_needed
virtual_reward_dormant_100,150,kill_goblin,sampled,78,predicted_failure,0.5473646723646723,underperform
virtual_reward_dormant_100,150,kill_goblin,sampled,78,first_virtual_improvement,0.5083689458689459,underperform
virtual_reward_dormant_100,150,kill_goblin,sampled,78,max_virtual_improvement,0.5788817663817664,underperform
virtual_reward_dormant_100,150,kill_goblin,sampled,78,first_js,0.5231481481481481,underperform
virtual_reward_dormant_100,150,kill_goblin,sampled,78,first_actor_entropy,0.46616809116809116,underperform
virtual_reward_dormant_100,150,kill_goblin,sampled,52,predicted_failure,0.472723704866562,ir_needed
virtual_reward_dormant_100,150,kill_goblin,sampled,52,first_virtual_improvement,0.5380690737833596,ir_needed
virtual_reward_dormant_100,150,kill_goblin,sampled,52,max_virtual_improvement,0.5694662480376766,ir_needed
virtual_reward_dormant_100,150,kill_goblin,sampled,52,first_js,0.4998037676609105,ir_needed
virtual_reward_dormant_100,150,kill_goblin,sampled,52,first_actor_entropy,0.4542778649921507,ir_needed
virtual_reward_dormant_100,75,kill_goblin,deterministic,49,predicted_failure,0.5070643642072213,underperform
virtual_reward_dormant_100,75,kill_goblin,deterministic,49,first_virtual_improvement,0.4913657770800628,underperform
virtual_reward_dormant_100,75,kill_goblin,deterministic,49,max_virtual_improvement,0.5463108320251178,underperform
virtual_reward_dormant_100,75,kill_goblin,deterministic,49,first_js,0.5062794348508635,underperform
virtual_reward_dormant_100,75,kill_goblin,deterministic,49,first_actor_entropy,0.4097331240188383,underperform
virtual_reward_dormant_100,75,kill_goblin,deterministic,27,predicted_failure,0.43287037037037035,ir_needed
virtual_reward_dormant_100,75,kill_goblin,deterministic,27,first_virtual_improvement,0.49691358024691357,ir_needed
virtual_reward_dormant_100,75,kill_goblin,deterministic,27,max_virtual_improvement,0.5015432098765432,ir_needed
virtual_reward_dormant_100,75,kill_goblin,deterministic,27,first_js,0.6342592592592593,ir_needed
virtual_reward_dormant_100,75,kill_goblin,deterministic,27,first_actor_entropy,0.4783950617283951,ir_needed
virtual_reward_dormant_100,150,bury_bones,sampled,94,predicted_failure,0.4194528875379939,underperform
virtual_reward_dormant_100,150,bury_bones,sampled,94,first_virtual_improvement,0.5246960486322189,underperform
virtual_reward_dormant_100,150,bury_bones,sampled,94,max_virtual_improvement,0.4933510638297872,underperform
virtual_reward_dormant_100,150,bury_bones,sampled,94,first_js,0.3810790273556231,underperform
virtual_reward_dormant_100,150,bury_bones,sampled,94,first_actor_entropy,0.42249240121580545,underperform
virtual_reward_dormant_100,150,bury_bones,sampled,71,predicted_failure,0.3683366018898199,ir_needed
virtual_reward_dormant_100,150,bury_bones,sampled,71,first_virtual_improvement,0.5550008914244964,ir_needed
virtual_reward_dormant_100,150,bury_bones,sampled,71,max_virtual_improvement,0.502941700837939,ir_needed
virtual_reward_dormant_100,150,bury_bones,sampled,71,first_js,0.3398110180067748,ir_needed
virtual_reward_dormant_100,150,bury_bones,sampled,71,first_actor_entropy,0.3594223569263683,ir_needed
virtual_reward_dormant_100,75,bury_bones,deterministic,47,predicted_failure,0.6390577507598785,underperform
virtual_reward_dormant_100,75,bury_bones,deterministic,47,first_virtual_improvement,0.6276595744680851,underperform
virtual_reward_dormant_100,75,bury_bones,deterministic,47,max_virtual_improvement,0.6276595744680851,underperform
virtual_reward_dormant_100,75,bury_bones,deterministic,47,first_js,0.5045592705167173,underperform
virtual_reward_dormant_100,75,bury_bones,deterministic,47,first_actor_entropy,0.540273556231003,underperform
virtual_reward_dormant_100,75,bury_bones,deterministic,32,predicted_failure,0.5305232558139535,ir_needed
virtual_reward_dormant_100,75,bury_bones,deterministic,32,first_virtual_improvement,0.6046511627906976,ir_needed
virtual_reward_dormant_100,75,bury_bones,deterministic,32,max_virtual_improvement,0.5886627906976745,ir_needed
virtual_reward_dormant_100,75,bury_bones,deterministic,32,first_js,0.501453488372093,ir_needed
virtual_reward_dormant_100,75,bury_bones,deterministic,32,first_actor_entropy,0.5436046511627907,ir_needed
virtual_reward_dormant_100,150,chop_logs,sampled,25,predicted_failure,0.68544,underperform
virtual_reward_dormant_100,150,chop_logs,sampled,25,first_virtual_improvement,0.45632,underperform
virtual_reward_dormant_100,150,chop_logs,sampled,25,max_virtual_improvement,0.47136,underperform
virtual_reward_dormant_100,150,chop_logs,sampled,25,first_js,0.48736,underperform
virtual_reward_dormant_100,150,chop_logs,sampled,25,first_actor_entropy,0.49728,underperform
