condition,environment_steps,episodes,evaluation_seconds,family,mean_action_length,mean_adapt_actor_reward_particle_rate,mean_committed_updates,mean_gate_after_reward_event_step_rate,mean_gate_after_reward_peak_mean,mean_gate_before_reward_event_step_rate,mean_gate_before_reward_peak_mean,mean_gate_score_improvement,mean_real_action_entropy,mean_real_top_action_fraction,mean_success_length,mean_task_progress,median_committed_updates,mix_beta,objective_label,success_rate,update_budget
no_ir,23920,150,2864.0702228380833,no_ir,158.46666666666667,nan,0.0,nan,nan,nan,nan,nan,2.2053835115449107,0.3324338793461632,77.84313725490196,0.34,0.0,0.0,no_ir,0.34,0
no_ir_world_audit,10562,60,1266.191896377015,world_audit,175.03333333333333,nan,0.0,nan,nan,nan,nan,nan,2.4257657070085297,0.2949879589209901,93.0,0.23333333333333334,0.0,0.0,no_ir,0.23333333333333334,0
always_reward_only,18777,150,2446.1491843399126,always,124.18,0.1348573670860788,124.18,nan,nan,nan,nan,nan,2.0832235153679477,0.35801191865287335,75.02197802197803,0.6066666666666667,116.0,0.0,reward_only,0.6066666666666667,0
reward_cap_16,28084,150,3392.063840459101,dose,186.22666666666666,0.012485226362179488,15.78,nan,nan,nan,nan,nan,2.449527029507394,0.2886645993681917,91.26315789473684,0.12666666666666668,16.0,0.0,reward_only,0.12666666666666668,16
reward_cap_46,28293,150,3459.9423938450636,dose,187.62,0.046746547826106086,44.873333333333335,nan,nan,nan,nan,nan,2.3793061755410965,0.30431682430657875,90.76470588235294,0.11333333333333333,46.0,0.0,reward_only,0.11333333333333333,46
reward_cap_80,27101,150,3363.7051459079375,dose,179.67333333333335,0.0639369264778139,77.25333333333333,nan,nan,nan,nan,nan,2.3163246807556863,0.31744448914903217,101.64516129032258,0.20666666666666667,80.0,0.0,reward_only,0.20666666666666667,80
reward_cap_127,18123,150,2309.1689940139186,dose,119.82,0.07213719421790378,91.4,nan,nan,nan,nan,nan,2.1097357247761974,0.3550356436439425,69.27173913043478,0.6133333333333333,104.0,0.0,reward_only,0.6133333333333333,127
reward_random_46,20245,150,2473.352178009227,random_schedule,133.96666666666667,0.06087468585727324,30.886666666666667,nan,nan,nan,nan,nan,1.9882440993092083,0.40915817011977346,77.71604938271605,0.54,39.0,0.0,reward_only,0.54,46
virtual_positive_reward_d25,30150,150,4166.915238243993,virtual_update,200.0,0.08704831918204475,48.56666666666667,0.01578867679919845,0.0903159083059756,0.014724899505141496,0.08466617650104998,0.005115967180917438,2.286955513785417,0.3500666666666667,nan,0.0,49.5,0.0,reward_only,0.0,0
virtual_negative_reward_d25,27128,150,3495.645214757067,virtual_update,179.85333333333332,0.008918317992742663,16.126666666666665,0.0006507334672366201,0.010760461919251086,0.0005370992699051147,0.008987418585717463,0.0012078159457397826,2.4369820307287267,0.3027583265901377,83.76923076923077,0.17333333333333334,13.0,0.0,reward_only,0.17333333333333334,0
always_mixed_beta_0p005,30150,150,3942.5643335869536,always_mixed,200.0,nan,200.0,nan,nan,nan,nan,nan,2.15483903326088,0.3344333333333333,nan,0.0,200.0,0.005,mixed_beta_0p005,0.0,0
mixed_beta_0p005_cap_46,27751,150,3403.073374650092,dose_mixed,184.00666666666666,nan,44.70666666666666,nan,nan,nan,nan,nan,2.3420948401575576,0.3158007769395272,73.73684210526316,0.12666666666666668,46.0,0.005,mixed_beta_0p005,0.12666666666666668,46
mixed_beta_0p005_random_46,20506,150,2510.2713069899473,random_schedule,135.70666666666668,nan,31.173333333333332,nan,nan,nan,nan,nan,1.993209043320015,0.38686670051148264,80.93827160493827,0.54,38.5,0.005,mixed_beta_0p005,0.54,46
virtual_positive_mixed_beta_0p005_d25,26041,150,3584.7087297049584,virtual_update,172.60666666666665,nan,39.24666666666667,0.011747065701690124,0.0735170420544985,0.010811659714613269,0.06750263484364424,0.004452937215340449,2.338931591382173,0.3296522801830808,94.64102564102564,0.26,39.5,0.005,mixed_beta_0p005,0.26,0
