action_index,canonical_stage,column,condition,count,fraction,grid_columns,grid_rows,outcome,phase,replicate,row
3,stage5b2a,3,no_ir,94,0.0094,28,18,all,all_steps,0,0
4,stage5b2a,4,no_ir,1,0.0001,28,18,all,all_steps,0,0
9,stage5b2a,9,no_ir,1,0.0001,28,18,all,all_steps,0,0
11,stage5b2a,11,no_ir,3,0.0003,28,18,all,all_steps,0,0
12,stage5b2a,12,no_ir,3,0.0003,28,18,all,all_steps,0,0
13,stage5b2a,13,no_ir,16,0.0016,28,18,all,all_steps,0,0
15,stage5b2a,15,no_ir,2,0.0002,28,18,all,all_steps,0,0
20,stage5b2a,20,no_ir,1,0.0001,28,18,all,all_steps,0,0
21,stage5b2a,21,no_ir,1,0.0001,28,18,all,all_steps,0,0
22,stage5b2a,22,no_ir,2,0.0002,28,18,all,all_steps,0,0
23,stage5b2a,23,no_ir,20,0.002,28,18,all,all_steps,0,0
24,stage5b2a,24,no_ir,1,0.0001,28,18,all,all_steps,0,0
25,stage5b2a,25,no_ir,2,0.0002,28,18,all,all_steps,0,0
26,stage5b2a,26,no_ir,19,0.0019,28,18,all,all_steps,0,0
30,stage5b2a,2,no_ir,1,0.0001,28,18,all,all_steps,0,1
32,stage5b2a,4,no_ir,177,0.0177,28,18,all,all_steps,0,1
33,stage5b2a,5,no_ir,1,0.0001,28,18,all,all_steps,0,1
34,stage5b2a,6,no_ir,6,0.0006,28,18,all,all_steps,0,1
35,stage5b2a,7,no_ir,2,0.0002,28,18,all,all_steps,0,1
36,stage5b2a,8,no_ir,2,0.0002,28,18,all,all_steps,0,1
37,stage5b2a,9,no_ir,1,0.0001,28,18,all,all_steps,0,1
42,stage5b2a,14,no_ir,1,0.0001,28,18,all,all_steps,0,1
43,stage5b2a,15,no_ir,3,0.0003,28,18,all,all_steps,0,1
44,stage5b2a,16,no_ir,1,0.0001,28,18,all,all_steps,0,1
45,stage5b2a,17,no_ir,18,0.0018,28,18,all,all_steps,0,1
46,stage5b2a,18,no_ir,2,0.0002,28,18,all,all_steps,0,1
49,stage5b2a,21,no_ir,1,0.0001,28,18,all,all_steps,0,1
58,stage5b2a,2,no_ir,5,0.0005,28,18,all,all_steps,0,2
59,stage5b2a,3,no_ir,2,0.0002,28,18,all,all_steps,0,2
61,stage5b2a,5,no_ir,1,0.0001,28,18,all,all_steps,0,2
64,stage5b2a,8,no_ir,1,0.0001,28,18,all,all_steps,0,2
65,stage5b2a,9,no_ir,2,0.0002,28,18,all,all_steps,0,2
68,stage5b2a,12,no_ir,3,0.0003,28,18,all,all_steps,0,2
72,stage5b2a,16,no_ir,3,0.0003,28,18,all,all_steps,0,2
74,stage5b2a,18,no_ir,1,0.0001,28,18,all,all_steps,0,2
78,stage5b2a,22,no_ir,1,0.0001,28,18,all,all_steps,0,2
79,stage5b2a,23,no_ir,489,0.0489,28,18,all,all_steps,0,2
82,stage5b2a,26,no_ir,1,0.0001,28,18,all,all_steps,0,2
84,stage5b2a,0,no_ir,17,0.0017,28,18,all,all_steps,0,3
85,stage5b2a,1,no_ir,2,0.0002,28,18,all,all_steps,0,3
86,stage5b2a,2,no_ir,2,0.0002,28,18,all,all_steps,0,3
88,stage5b2a,4,no_ir,2,0.0002,28,18,all,all_steps,0,3
91,stage5b2a,7,no_ir,2,0.0002,28,18,all,all_steps,0,3
92,stage5b2a,8,no_ir,2,0.0002,28,18,all,all_steps,0,3
93,stage5b2a,9,no_ir,1,0.0001,28,18,all,all_steps,0,3
97,stage5b2a,13,no_ir,1,0.0001,28,18,all,all_steps,0,3
101,stage5b2a,17,no_ir,1,0.0001,28,18,all,all_steps,0,3
102,stage5b2a,18,no_ir,52,0.0052,28,18,all,all_steps,0,3
104,stage5b2a,20,no_ir,4,0.0004,28,18,all,all_steps,0,3
108,stage5b2a,24,no_ir,186,0.0186,28,18,all,all_steps,0,3
109,stage5b2a,25,no_ir,1,0.0001,28,18,all,all_steps,0,3
111,stage5b2a,27,no_ir,5,0.0005,28,18,all,all_steps,0,3
